week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-06-09,1,3915937.0,42nd Street,St. James Theatre,282368.0,,30.42,,9281,1655,0.701,8,0
1985-06-09,1,3915937.0,A Chorus Line,Sam S. Shubert Theatre,222584.0,,27.25,,8167,1472,0.6935,8,0
1985-06-09,1,3915937.0,Aren't We All?,Brooks Atkinson Theatre,249272.0,,33.75,,7386,1088,0.8486,8,0
1985-06-09,1,3915937.0,Arms and the Man,Circle in the Square Theatre,95688.0,,20.87,,4586,682,0.8405,8,0
1985-06-09,1,3915937.0,As Is,Lyceum Theatre,61059.0,,20.78,,2938,684,0.5369,8,0
1985-06-09,1,3915937.0,Big River,Eugene O'Neill Theatre,255386.0,,31.96,,7992,1018,0.9813,8,0
1985-06-09,1,3915937.0,Biloxi Blues,Neil Simon Theatre,306839.0,,28.33,,10831,1336,1.0134,8,0
1985-06-09,1,3915937.0,Brighton Beach Memoirs,46th Street Theatre,107392.0,,18.93,,5672,1368,0.5183,8,0
1985-06-09,1,3915937.0,Cats,Winter Garden Theatre,461880.0,,38.35,,12043,1482,1.0158,8,0
1985-06-09,1,3915937.0,Doubles,Ritz Theatre,47452.0,,17.52,,2709,499,0.6786,8,0
1985-06-09,1,3915937.0,Grind,Mark Hellinger Theatre,189253.0,,32.62,,5801,1591,0.4558,8,0
1985-06-09,1,3915937.0,La Cage aux Folles,Palace Theatre,408860.0,,34.3,,11921,1683,0.8854,8,0
1985-06-09,1,3915937.0,Leader of the Pack,Ambassador Theatre,122005.0,,23.42,,5210,1083,0.6013,8,0
1985-06-09,1,3915937.0,Oh! Calcutta!,Edison Theatre,32330.0,,14.22,,2273,499,0.5061,9,0
1985-06-09,1,3915937.0,Singin' in the Rain,Gershwin Theatre,243424.0,,24.05,,10120,1933,0.6544,0,8
1985-06-09,1,3915937.0,Sunday in the Park with George,Booth Theatre,153364.0,,31.43,,4880,771,0.7912,8,0
1985-06-09,1,3915937.0,The King and I,Broadway Theatre,407169.0,,40.84,,9969,1765,0.706,8,0
1985-06-09,1,3915937.0,The Odd Couple,Broadhurst Theatre,91056.0,,24.17,,3768,1181,0.3988,0,8
1985-06-09,1,3915937.0,The Tap Dance Kid,Minskoff Theatre,178556.0,,26.78,,6667,1621,0.5141,8,0
1985-06-16,2,3685742.0,42nd Street,St. James Theatre,301417.0,,29.46,,10231,1655,0.7727,8,0
1985-06-16,2,3685742.0,A Chorus Line,Sam S. Shubert Theatre,219204.0,,27.68,,7918,1472,0.6724,8,0
1985-06-16,2,3685742.0,Aren't We All?,Brooks Atkinson Theatre,203994.0,,32.43,,6291,1088,0.7228,8,0
1985-06-16,2,3685742.0,Arms and the Man,Circle in the Square Theatre,94331.0,,20.2,,4669,682,0.8558,8,0
1985-06-16,2,3685742.0,As Is,Lyceum Theatre,66373.0,,20.19,,3288,684,0.6009,8,0
1985-06-16,2,3685742.0,Big River,Eugene O'Neill Theatre,264247.0,,33.23,,7952,1018,0.9764,8,0
1985-06-16,2,3685742.0,Biloxi Blues,Neil Simon Theatre,310012.0,,28.34,,10939,1336,1.0235,8,0
1985-06-16,2,3685742.0,Brighton Beach Memoirs,46th Street Theatre,107456.0,,16.49,,6516,1368,0.5954,8,0
1985-06-16,2,3685742.0,Cats,Winter Garden Theatre,458353.0,,38.1,,12029,1482,1.0146,8,0
1985-06-16,2,3685742.0,Doubles,Ritz Theatre,55777.0,,17.84,,3126,499,0.7831,8,0
