gutenberg_id,title,gutenberg_author_id,author,birthdate,deathdate,wikipedia,aliases,_art_year
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,37,"Dickens, Charles",1812.0,1870.0,https://en.wikipedia.org/wiki/Charles_Dickens,"Boz/Dickens, Charles John Huffam",1970.0
1902,The Old Peabody Pew: A Christmas Romance of a Country Church,266,"Wiggin, Kate Douglas Smith",1856.0,1923.0,https://en.wikipedia.org/wiki/Kate_Douglas_Wiggin,"Riggs, Kate Douglas Smith Wiggin/Smith, Kate Douglas/Riggs, George Christopher, Mrs./Wiggin, Samuel Bradley, Mrs.",1970.0
2731,The Christmas Books of Mr. M.A. Titmarsh,313,"Thackeray, William Makepeace",1811.0,1863.0,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray,"Titmarsh, Michael Angelo/Thackeray, W. M./Titmarsh, M. A./Thackeray, William M.",1970.0
4384,The Lost Word: A Christmas Legend of Long Ago,362,"Van Dyke, Henry",1852.0,1933.0,https://en.wikipedia.org/wiki/Henry_van_Dyke,"Dyke, Henry Van/Dyke, Henry Jackson Van/Dyke, Henry I. Van",1970.0
8694,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story",102,"Alcott, Louisa May",1832.0,1888.0,https://en.wikipedia.org/wiki/Louisa_May_Alcott,"Barnard, A. M./Alcott, Louisa M. (Louisa May)/Alcott, L. M. (Louisa May)",1970.0
10707,A Christmas Mystery: The Story of Three Wise Men,1324,"Locke, William John",1863.0,1930.0,https://en.wikipedia.org/wiki/William_John_Locke,"Locke, William J. (William John)/Locke, W. J. (William John)",1970.0
10813,A Versailles Christmas-Tide,3695,"Boyd, Mary Stuart",1860.0,1937.0,,,1970.0
12881,Mrs. Budlong's Christmas Presents,2334,"Hughes, Rupert",1872.0,1956.0,https://en.wikipedia.org/wiki/Rupert_Hughes,,1970.0
14534,Christmas with Grandma Elsie,2044,"Finley, Martha",1828.0,1909.0,https://en.wikipedia.org/wiki/Martha_Finley,"Farquharson, Martha/Cousin Martha",1970.0
14606,And Thus He Came: A Christmas Fantasy,5591,"Brady, Cyrus Townsend",1861.0,1920.0,https://en.wikipedia.org/wiki/Cyrus_Townsend_Brady,,1970.0
14835,The Burglar and the Blizzard: A Christmas Story,3939,"Miller, Alice Duer",1874.0,1942.0,https://en.wikipedia.org/wiki/Alice_Duer_Miller,"Duer, Alice",1970.0
15552,Christmas Outside of Eden,2497,"Dawson, Coningsby",1883.0,1959.0,https://en.wikipedia.org/wiki/Coningsby_Dawson,"Dawson, Coningsby W. (Coningsby William)/Dawson, Coningsby William",1970.0
15709,The Christmas Angel,5282,"Brown, Abbie Farwell",1871.0,1927.0,https://en.wikipedia.org/wiki/Abbie_Farwell_Brown,,1970.0
15826,Uncle Noah's Christmas Inspiration,6328,"Dalrymple, Leona",1884.0,1968.0,https://en.wikipedia.org/wiki/Leona_Dalrymple,"Dalrymple, C. Leona",1970.0
16454,The Upas Tree: A Christmas Story for all the Year,1253,"Barclay, Florence L. (Florence Louisa)",1862.0,1921.0,https://en.wikipedia.org/wiki/Florence_L._Barclay,"Barclay, Florence Louisa (Charlesworth), Mrs./Roy, Brandon",1970.0
17006,Two Christmas Celebrations,7088,"Parker, Theodore",1810.0,1860.0,https://en.wikipedia.org/wiki/Theodore_Parker,"Blodgett, Levi",1970.0
17743,Rosemary: A Christmas story,3522,"Williamson, C. N. (Charles Norris)",1859.0,1920.0,https://en.wikipedia.org/wiki/Charles_Norris_Williamson,"Williamson, Charles Norris",1970.0
17743,Rosemary: A Christmas story,3796,"Williamson, A. M. (Alice Muriel)",1869.0,1933.0,https://en.wikipedia.org/wiki/A._M._Williamson,"Williamson, Alice Muriel/Williamson, Mrs. C. N.",1970.0
17937,The Thin Santa Claus: The Chicken Yard That Was a Christmas Stocking,585,"Butler, Ellis Parker",1869.0,1937.0,https://en.wikipedia.org/wiki/Ellis_Parker_Butler,,1970.0
18770,"A Christmas Story
Man in His Element: or, A New Way to Keep House",8241,"Francis, Samuel W. (Samuel Ward)",1835.0,1886.0,https://en.wikipedia.org/wiki/Samuel_Ward_Francis,"Francis, Samuel Ward/Syntax, Samuel",1970.0
19384,On Christmas Day In The Evening,2216,"Richmond, Grace S. (Grace Smith)",1866.0,1959.0,https://en.wikipedia.org/wiki/Grace_S._Richmond,"Smith, Grace",1970.0
20018,"Evenings at Donaldson Manor; Or, The Christmas Guest",9034,"McIntosh, Maria J. (Maria Jane)",1803.0,1878.0,https://en.wikipedia.org/wiki/Maria_Jane_McIntosh,"McIntosh, Maria Jane/McIntosh, M. J. (Maria Jane)/M'Intosh, M. J. (Maria Jane)/M'Intosh, Maria",1970.0
20180,Mr. Kris Kringle: A Christmas Tale,357,"Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,https://en.wikipedia.org/wiki/Silas_Weir_Mitchell,"Mitchell, Weir/Mitchell, Silas Weir",1970.0
20210,Shakespeare's Christmas Gift to Queen Bess,9154,"McMahan, Anna Benneson",,,,,
20251,"Christmas Comes but Once a Year
Showing What Mr. Brown Did, Thought, and Intended to Do, During That Festive Season.",9186,"Leighton, John",1822.0,1912.0,https://en.wikipedia.org/wiki/John_Leighton_(artist),"Limner, Luke",1970.0
20453,The Christmas Child,2440,"Stretton, Hesba",1832.0,1911.0,https://en.wikipedia.org/wiki/Hesba_Stretton,"Smith, Sarah",1970.0
20516,Christmas: A Story,3531,"Gale, Zona",1874.0,1938.0,https://en.wikipedia.org/wiki/Zona_Gale,"Breese, William Llywelyn, Mrs./Breese, William Lleywelyn, Mrs.",1970.0
22665,"Christian Gellert's Last Christmas
From ""German Tales"" Published by the American Publishers' Corporation",8194,"Auerbach, Berthold",1812.0,1882.0,https://en.wikipedia.org/wiki/Berthold_Auerbach|https://de.wikipedia.org/wiki/Berthold_Auerbach,"Baruch, Moses",1970.0
23569,"Christmas Holidays at Merryvale
The Merryvale Boys",7166,"Burnett, Alice Hale",,,https://en.wikipedia.org/wiki/Alice_Hale_Burnett,,
32455,Christmas Eve and Christmas Day: Ten Christmas stories,650,"Hale, Edward Everett",1822.0,1909.0,https://en.wikipedia.org/wiki/Edward_Everett_Hale,"Ingham, Frederic/Darragh, J. Thomas/Hale, E. E. (Edward Everett)/Hale, Edward E.",1970.0
37547,The Fairies and the Christmas Child,38912,"Gask, Lilian",1865.0,,https://en.wikipedia.org/wiki/Lilian_Gask,,1970.0
38983,"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",2241,"Frey, Hildegard G.",1891.0,1957.0,,"Frey, Hildegard G. (Hildegard Gertrude)/Frey, Hildegarde G.",1970.0
42923,The Doctor's Christmas Eve,869,"Allen, James Lane",1849.0,1925.0,https://en.wikipedia.org/wiki/James_Lane_Allen,,1970.0
44796,The Prodigal Village: A Christmas Tale,4001,"Bacheller, Irving",1859.0,1950.0,https://en.wikipedia.org/wiki/Irving_Bacheller,"Bacheller, Addison Irving",1970.0
52935,Mr. Blake's Walking-Stick: A Christmas Story for Boys and Girls,3293,"Eggleston, Edward",1837.0,1902.0,https://en.wikipedia.org/wiki/Edward_Eggleston,,1970.0
