category,logo,production,type,title,distributor,producer,year,page,page_id,_art_year
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/stacey-abrams-2021-450x600.jpg?itok=lhfW3vNL,,Nominee,black-ish: Election Special (Part 2),ABC,ABC,2021,0,1,2021
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/julie-andrews-photofest-450x600.jpg?itok=ENffpIeC,,Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,0,2,2021
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/seth-macfarlane-ap-450x600.jpg?itok=5CDwUiWc,,Nominee,Family Guy,FOX,20th Television Animation,2021,0,3,2021
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/jessica-walter-photofest-450x600.jpg?itok=_uOhUzki,,Nominee,Archer,FX Networks,FX Productions,2021,0,4,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Elisabeth Williams, Production Designer",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Martha Sparrow, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Larry Spittle, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Rob Hepburn, Set Decorator",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-the-undoing-2021-600x600.jpg?itok=gBGpxT4V,"Lester Cohen, Production Designer",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021,0,6,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-the-undoing-2021-600x600.jpg?itok=gBGpxT4V,"Doug Huszti, Art Director",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021,0,6,2021
