count,state,adults,men,women,men_working,women_working,men_nonworking,women_nonworking
1,All states (average),22,27,18,28,20,21.0,14.0
2,Alabama,19,24,14,25,15,23.0,13.0
3,Alaska,27,33,23,31,24,33.0,17.0
4,Arizona,26,29,23,31,26,22.0,16.0
5,Arkansas,15,19,11,21,13,14.0,9.0
6,California,24,28,19,29,21,24.0,15.0
7,Colorado,32,33,31,34,33,26.0,27.0
8,Connecticut,24,28,21,29,24,22.0,13.0
9,Delaware,20,24,15,23,17,25.0,11.0
10,District of Columbia,30,40,22,40,24,43.0,18.0
11,Florida,21,27,15,27,17,25.0,12.0
12,Georgia,20,27,14,29,15,21.0,12.0
13,Hawaii,24,31,18,32,19,25.0,14.0
14,Idaho,31,35,27,36,27,34.0,28.0
15,Illinois,24,28,20,29,24,21.0,15.0
16,Indiana,15,20,10,21,12,11.0,5.0
17,Iowa,22,24,19,23,20,23.0,16.0
18,Kansas,23,24,21,26,23,16.0,16.0
19,Kentucky,14,17,11,21,14,9.0,5.0
20,Louisiana,20,23,17,25,20,15.0,14.0
21,Maine,24,27,20,32,23,,11.0
22,Maryland,22,29,16,29,18,26.0,11.0
23,Massachusetts,29,32,26,34,28,25.0,18.0
24,Michigan,23,28,18,30,21,21.0,13.0
25,Minnesota,27,31,24,30,26,32.0,15.0
26,Mississippi,13,17,9,19,10,13.0,8.0
27,Missouri,23,29,17,31,18,20.0,17.0
28,Montana,20,20,20,24,25,10.0,
29,Nebraska,23,26,21,25,22,33.0,18.0
30,Nevada,23,25,21,25,22,22.0,19.0
31,New Hampshire,30,30,31,30,32,29.0,28.0
32,New Jersey,21,25,16,27,16,17.0,13.0
33,New Mexico,23,27,18,29,21,19.0,14.0
34,New York,18,22,15,25,17,15.0,11.0
35,North Carolina,22,26,19,27,19,19.0,17.0
36,North Dakota,20,21,18,22,20,,
37,Ohio,23,29,18,31,21,24.0,13.0
38,Oklahoma,19,24,14,24,14,21.0,14.0
39,Oregon,25,28,22,30,26,21.0,15.0
40,Pennsylvania,25,29,21,31,23,19.0,18.0
41,Rhode Island,25,30,21,32,26,22.0,12.0
42,South Carolina,14,20,10,21,12,12.0,6.0
43,South Dakota,17,17,15,17,16,28.0,
44,Tennessee,17,20,14,22,15,10.0,12.0
45,Texas,23,28,19,28,21,25.0,14.0
46,Utah,28,29,27,30,26,22.0,27.0
47,Vermont,29,35,23,40,26,21.0,15.0
48,Virginia,24,29,19,32,20,16.0,16.0
49,Washington,28,31,26,33,29,25.0,20.0
50,West Virginia,16,19,14,21,18,14.0,8.0
51,Wisconsin,23,26,21,27,23,21.0,14.0
52,Wyoming,27,29,24,31,29,17.0,13.0
