"yearID","lgID","teamID","franchID","divID","Rank","G","Ghome","W","L","DivWin","WCWin","LgWin","WSWin","R","AB","H","X2B","X3B","HR","BB","SO","SB","CS","HBP","SF","RA","ER","ERA","CG","SHO","SV","IPouts","HA","HRA","BBA","SOA","E","DP","FP","name","park","attendance","BPF","PPF","teamIDBR","teamIDlahman45","teamIDretro","win_pct","ws_title"
1883,"NL","NY1","SFG",NA,6,98,NA,46,50,NA,NA,"N",NA,530,3524,900,139,69,24,127,297,NA,NA,NA,NA,577,283,2.94,87,5,0,2598,907,19,170,323,468,52,0.889,"New York Gothams","Polo Grounds I",NA,99,99,"NYG","NY1","NY1",0.479166666666667,FALSE
1884,"NL","NY1","SFG",NA,4,116,NA,62,50,NA,NA,"N","N",693,4124,1053,149,68,22,249,492,NA,NA,NA,NA,623,351,3.12,111,4,0,3042,1011,28,326,567,514,69,0.895,"New York Gothams","Polo Grounds I",NA,105,102,"NYG","NY1","NY1",0.553571428571429,FALSE
1885,"NL","NY1","SFG",NA,2,112,NA,85,27,NA,NA,"N","N",691,4029,1085,150,82,16,221,312,NA,NA,NA,NA,370,190,1.72,109,16,1,2982,758,11,265,516,331,85,0.929,"New York Giants","Polo Grounds I",NA,101,97,"NYG","NY1","NY1",0.758928571428571,FALSE
1886,"NL","NY1","SFG",NA,3,124,NA,75,44,NA,NA,"N","N",692,4298,1156,175,68,21,237,410,155,NA,NA,NA,558,338,2.86,119,3,1,3186,1029,23,280,588,359,70,0.929,"New York Giants","Polo Grounds I",NA,103,99,"NYG","NY1","NY1",0.630252100840336,FALSE
1887,"NL","NY1","SFG",NA,4,129,NA,68,55,NA,NA,"N","N",816,4516,1259,167,93,48,361,326,415,NA,47,NA,723,442,3.58,123,5,1,3335,1096,27,373,415,431,83,0.92,"New York Giants","Polo Grounds I",NA,96,93,"NYG","NY1","NY1",0.552845528455285,FALSE
1888,"NL","NY1","SFG",NA,1,137,NA,84,47,NA,NA,"Y","Y",659,4747,1149,130,76,55,270,456,314,NA,29,NA,479,263,1.96,133,20,3,3624,907,27,307,726,432,76,0.924,"New York Giants","Polo Grounds I",NA,99,96,"NYG","NY1","NY1",0.641221374045801,FALSE
1889,"NL","NY1","SFG",NA,1,131,NA,83,43,NA,NA,"Y","Y",935,4671,1319,208,77,52,538,386,292,NA,27,NA,708,444,3.47,119,6,3,3450,1067,38,524,558,437,90,0.919,"New York Giants","Polo Grounds II",NA,104,101,"NYG","NY1","NY1",0.658730158730159,FALSE
1890,"NL","NY1","SFG",NA,6,135,NA,63,68,NA,NA,"N","N",713,4832,1250,208,89,25,350,479,289,NA,50,NA,698,400,3.06,115,6,1,3531,1029,14,607,612,440,104,0.922,"New York Giants","Polo Grounds II",60667,95,95,"NYG","NY1","NY1",0.480916030534351,FALSE
1891,"NL","NY1","SFG",NA,3,136,NA,71,61,NA,NA,"N",NA,754,4833,1271,189,72,46,438,394,224,NA,36,NA,711,400,2.99,117,11,2,3612,1098,26,593,651,384,104,0.933,"New York Giants","Polo Grounds III",210568,96,96,"NYG","NY1","NY1",0.537878787878788,FALSE
1892,"NL","NY1","SFG",NA,8,152,NA,71,80,NA,NA,"N",NA,811,5291,1329,173,85,39,510,474,301,NA,34,NA,826,484,3.29,139,5,1,3968,1165,32,635,650,565,97,0.912,"New York Giants","Polo Grounds III",130566,99,98,"NYG","NY1","NY1",0.470198675496689,FALSE
