Date,state,_art_value,_art_year
2017-08-20,Texas,295,2017
2017-08-21,Texas,998,2017
2017-08-22,Texas,696,2017
2017-08-23,Texas,1130,2017
2017-08-24,Texas,1851,2017
2017-08-25,Texas,2693,2017
2017-08-26,Texas,1953,2017
2017-08-27,Texas,2962,2017
2017-08-28,Texas,5072,2017
2017-08-29,Texas,5013,2017
2017-08-30,Texas,4436,2017
2017-08-31,Texas,3935,2017
2017-09-01,Texas,2746,2017
2017-09-02,Texas,1919,2017
2017-09-03,Texas,1435,2017
2017-09-04,Texas,1522,2017
2017-09-05,Texas,2114,2017
2017-09-06,Texas,1728,2017
2017-09-07,Texas,1607,2017
2017-09-08,Texas,1384,2017
2017-09-09,Texas,814,2017
2017-09-10,Texas,724,2017
2017-09-11,Texas,1226,2017
2017-09-12,Texas,1224,2017
2017-09-13,Texas,1067,2017
2017-09-14,Texas,1007,2017
2017-09-15,Texas,1122,2017
2017-09-16,Texas,554,2017
2017-09-17,Texas,522,2017
2017-09-18,Texas,725,2017
2017-09-19,Texas,983,2017
2017-09-20,Texas,866,2017
2017-09-21,Texas,799,2017
2017-09-22,Texas,1070,2017
2017-09-23,Texas,844,2017
2017-09-24,Texas,411,2017
2017-09-25,Texas,812,2017
2017-09-26,Texas,1295,2017
2017-09-27,Texas,924,2017
2017-09-28,Texas,863,2017
2017-09-29,Texas,949,2017
2017-09-30,Texas,504,2017
2017-10-01,Texas,604,2017
2017-10-02,Texas,839,2017
2017-10-03,Texas,891,2017
2017-10-04,Texas,779,2017
2017-10-05,Texas,907,2017
2017-10-06,Texas,758,2017
2017-10-07,Texas,411,2017
2017-10-08,Texas,400,2017
2017-10-09,Texas,828,2017
2017-08-20,Puerto Rico,32,2017
2017-08-21,Puerto Rico,24,2017
2017-08-22,Puerto Rico,32,2017
2017-08-23,Puerto Rico,36,2017
2017-08-24,Puerto Rico,135,2017
2017-08-25,Puerto Rico,39,2017
2017-08-26,Puerto Rico,15,2017
2017-08-27,Puerto Rico,11,2017
2017-08-28,Puerto Rico,42,2017
2017-08-29,Puerto Rico,14,2017
2017-08-30,Puerto Rico,42,2017
2017-08-31,Puerto Rico,40,2017
2017-09-01,Puerto Rico,18,2017
2017-09-02,Puerto Rico,15,2017
2017-09-03,Puerto Rico,50,2017
2017-09-04,Puerto Rico,224,2017
2017-09-05,Puerto Rico,500,2017
2017-09-06,Puerto Rico,938,2017
2017-09-07,Puerto Rico,635,2017
2017-09-08,Puerto Rico,227,2017
2017-09-09,Puerto Rico,121,2017
2017-09-10,Puerto Rico,154,2017
2017-09-11,Puerto Rico,151,2017
2017-09-12,Puerto Rico,143,2017
2017-09-13,Puerto Rico,73,2017
2017-09-14,Puerto Rico,127,2017
2017-09-15,Puerto Rico,56,2017
2017-09-16,Puerto Rico,36,2017
2017-09-17,Puerto Rico,125,2017
2017-09-18,Puerto Rico,485,2017
2017-09-19,Puerto Rico,908,2017
2017-09-20,Puerto Rico,1461,2017
2017-09-21,Puerto Rico,1415,2017
2017-09-22,Puerto Rico,1270,2017
2017-09-23,Puerto Rico,665,2017
2017-09-24,Puerto Rico,674,2017
2017-09-25,Puerto Rico,1562,2017
2017-09-26,Puerto Rico,2577,2017
2017-09-27,Puerto Rico,2107,2017
2017-09-28,Puerto Rico,2177,2017
2017-09-29,Puerto Rico,2202,2017
2017-09-30,Puerto Rico,1593,2017
2017-10-01,Puerto Rico,1394,2017
2017-10-02,Puerto Rico,1026,2017
2017-10-03,Puerto Rico,2217,2017
2017-10-04,Puerto Rico,1492,2017
2017-10-05,Puerto Rico,824,2017
2017-10-06,Puerto Rico,1252,2017
2017-10-07,Puerto Rico,352,2017
2017-10-08,Puerto Rico,317,2017
2017-10-09,Puerto Rico,580,2017
2017-08-20,Florida,239,2017
2017-08-21,Florida,527,2017
2017-08-22,Florida,577,2017
2017-08-23,Florida,596,2017
2017-08-24,Florida,933,2017
2017-08-25,Florida,533,2017
2017-08-26,Florida,199,2017
2017-08-27,Florida,211,2017
2017-08-28,Florida,569,2017
2017-08-29,Florida,508,2017
2017-08-30,Florida,589,2017
2017-08-31,Florida,553,2017
2017-09-01,Florida,651,2017
2017-09-02,Florida,569,2017
2017-09-03,Florida,528,2017
2017-09-04,Florida,584,2017
2017-09-05,Florida,1580,2017
2017-09-06,Florida,2781,2017
2017-09-07,Florida,3056,2017
2017-09-08,Florida,3434,2017
2017-09-09,Florida,2974,2017
2017-09-10,Florida,4003,2017
2017-09-11,Florida,3760,2017
2017-09-12,Florida,2525,2017
2017-09-13,Florida,2004,2017
2017-09-14,Florida,1781,2017
2017-09-15,Florida,1087,2017
2017-09-16,Florida,703,2017
2017-09-17,Florida,542,2017
2017-09-18,Florida,700,2017
2017-09-19,Florida,912,2017
2017-09-20,Florida,700,2017
2017-09-21,Florida,620,2017
2017-09-22,Florida,577,2017
2017-09-23,Florida,541,2017
2017-09-24,Florida,360,2017
2017-09-25,Florida,518,2017
2017-09-26,Florida,832,2017
2017-09-27,Florida,728,2017
2017-09-28,Florida,675,2017
2017-09-29,Florida,559,2017
2017-09-30,Florida,491,2017
2017-10-01,Florida,621,2017
2017-10-02,Florida,684,2017
2017-10-03,Florida,746,2017
2017-10-04,Florida,635,2017
2017-10-05,Florida,722,2017
2017-10-06,Florida,695,2017
2017-10-07,Florida,466,2017
2017-10-08,Florida,395,2017
2017-10-09,Florida,427,2017
