set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,_art_year
001-1,Gears,1965,1,43,https://cdn.rebrickable.com/media/sets/001-1.jpg,24732.0,1.0,24696,1,1965
0011-2,Town Mini-Figures,1979,67,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg,,,5087,1,1979
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg,,,2216,1,1987
0012-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg,,,1414,1,1979
0013-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg,,,4609,1,1979
0014-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0014-1.jpg,,,5004,1,1979
0015-1,Space Mini-Figures,1979,143,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg,,,12208,1,1979
0016-1,Castle Mini Figures,1979,189,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg,,,13351,1,1979
002-1,4.5V Samsonite Gears Motor Set,1965,1,3,https://cdn.rebrickable.com/media/sets/002-1.jpg,,,24701,1,1965
002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4,https://cdn.rebrickable.com/media/sets/002253963-1.jpg,,,133027,1,2013
003-1,Master Mechanic Set,1966,366,403,https://cdn.rebrickable.com/media/sets/003-1.jpg,,,24702,1,1966
005-1,Basic Building Set in Cardboard,1965,366,35,https://cdn.rebrickable.com/media/sets/005-1.jpg,,,2028,1,1965
005-2,Discovery Set,1967,366,0,https://cdn.rebrickable.com/media/sets/005-2.jpg,,,24732,1,1967
00-6,Special Offer,1985,67,0,https://cdn.rebrickable.com/media/sets/00-6.jpg,,,2836,1,1985
010-1,Basic Building Set in Cardboard,1965,366,57,https://cdn.rebrickable.com/media/sets/010-1.jpg,,,13468,1,1965
010-3,Basic Building Set,1968,366,77,https://cdn.rebrickable.com/media/sets/010-3.jpg,,,5080,1,1968
011-1,Basic Building Set,1968,366,145,https://cdn.rebrickable.com/media/sets/011-1.jpg,,,8404,1,1968
021-1,Wheel Set,1966,366,183,https://cdn.rebrickable.com/media/sets/021-1.jpg,,,24734,1,1966
022-1,Basic Building Set,1968,366,110,https://cdn.rebrickable.com/media/sets/022-1.jpg,,,6832,1,1968
