call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
KGDH-LP,104.5,Mobile,Mobile Hispanic Education Family Fundation,Spanish religious,Alabama,,,,,
KRLE,89.7,Carbon Hill,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WAAO-FM,93.7,Andalusia,"Three Notch Communications, LLC",Country,Alabama,,,,,
WAAX,570.0,Gadsden,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WABD,97.5,Mobile,Cumulus Licensing LLC,Top 40 (CHR),Alabama,,,,,
WABF,1480.0,Mobile,Eternity Media Group WABF,Adult standards,Alabama,,,,,
WACQ,580.0,Tuskegee,"Tiger Communications, Inc.",Classic hits,Alabama,,,,,
WACT,1420.0,Tuscaloosa,"iHM Licenses, LLC",Adult contemporary,Alabama,,,,,
WACV,93.1,Coosada,"Liberty Acquisitions 825, LLC",News/Talk,Alabama,,,,,
WAFN,1310.0,Priceville,"Fun Media Group of North Alabama, LLC",Classic hits,Alabama,,,,,
WAFN-FM,92.7,Arab,"Fun Media Group, Inc.",Classic hits,Alabama,,,,,
WAGF-FM,101.3,Dothan,"Wilson Broadcasting Co., Inc.","R&B, Motown oldies, blues, gospel music, and sports",Alabama,,,,,
WAGG,610.0,Birmingham,"SM-WAGG, LLC",Urban gospel,Alabama,,,,,
WAGH,101.3,Smiths,"iHM Licenses, LLC",Urban adult contemporary,Alabama,,,,,
WAHR,99.1,Huntsville,"Southern Stone Communications, LLC",Adult contemporary,Alabama,,,,,
WAJF-LP,107.9,Decatur,Taxpayers Defense Fund,Variety,Alabama,,,,,
WAJH,91.1,Birmingham,"The Jazz Hall of Fame of Alabama, Inc.",Smooth jazz,Alabama,,,,,
WAKD,89.9,Sheffield,American Family Association,Religious talk (AFR),Alabama,,,,,
WALJ,105.1,Northport,"Townsquare Media Tuscaloosa License, LLC",Mainstream urban,Alabama,,,,,
WALN,89.3,Carrollton,American Family Association,Inspirational (AFR),Alabama,,,,,
WALQ,1130.0,Carrville,"Augustus Foundation, Inc.",Silent,Alabama,,,,,
WALW-LP,97.9,Moulton,"Community Information And Education Radio, Inc.",Classic hits,Alabama,,,,,
WALX,100.9,Orrville,"Scott Communications, Inc.",Classic hits,Alabama,950.0,FM,"SCOTT COMMUNICATIONS, INC.",LICENSED,Click for Details
WAMI,890.0,Opp,Christopher W. Johnson,Silent,Alabama,,,,,
WAMI-FM,102.3,Opp,Covington Media LLC,Classic country,Alabama,,,,,
WANI,1400.0,Opelika,"Auburn Network, Inc.",News/Talk,Alabama,,,,,
WAPI,1070.0,Birmingham,"Radio License Holding CBC, LLC",News/Talk (WZRR),Alabama,,,,,
WAPR,88.3,Selma,Ua-Asu-Tsu Educational Radio Corp.,Public radio,Alabama,,,,,
WARB,700.0,Dothan,"Alarado Media, LLC",Urban contemporary,Alabama,,,,,
WAQU,91.1,Selma,American Family Association,Religious talk (AFR),Alabama,,,,,
WASG,540.0,Daphne,Alabama Radio Corporation,Urban gospel,Alabama,,,,,
