LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
100002,alabama youth services,AL,,1994-1995,0.0,0.589390962671906,71.7092337917485,0.196463654223969,27.5049115913556,,509,Diverse,,
100005,albertville city,AL,town-distant,1994-1995,0.0,0.32071840923669,1.28287363694676,4.52212957023733,93.8742783835792,,3118,Extremely undiverse,,
100005,albertville city,AL,town-distant,2016-2017,0.293739673214614,0.5507618872774,3.19441894620892,46.7413255002754,46.7780429594272,2.44171103359648,5447,Diverse,0.0115560814900008,Highly integrated
100006,marshall county,AL,rural-distant,1994-1995,0.104368570150589,0.134188161622186,0.37274489339496,0.909497539883704,98.4792008349486,,6707,Extremely undiverse,,
100006,marshall county,AL,rural-distant,2016-2017,0.49235097590997,0.298927378231053,1.07262176894672,21.2941797081062,75.80446632671,1.03745384209601,5687,Undiverse,,
100007,hoover city,AL,city-small,1994-1995,0.065180550123843,1.60344153304654,6.03571894146787,0.547516621040282,91.7481423543215,,7671,Extremely undiverse,,
100007,hoover city,AL,city-small,2016-2017,0.0932701965848759,6.67958100157842,24.6807289424595,7.75577557755776,56.701104893098,4.08953938872148,13938,Diverse,0.0315555345249351,Highly integrated
100008,madison city,AL,suburban-large,2016-2017,0.593869731800766,8.9176245210728,20.3735632183908,5.11494252873563,60.6992337164751,4.3007662835249,10440,Diverse,0.0026566015050741,Highly integrated
100011,leeds city,AL,suburban-large,2016-2017,0.304105423213381,1.06436898124683,23.0106436898125,12.4683223517486,60.6183476938672,2.53421186011151,1973,Diverse,,
100012,boaz city,AL,town-distant,2016-2017,0.502302218501465,1.17203850983675,1.9673503557974,29.7614064462118,63.7505232314776,2.84637923817497,2389,Diverse,,
100013,trussville city,AL,suburban-large,2016-2017,0.330469266358229,1.96078431372549,11.7647058823529,1.54218990967173,81.6038775060586,2.797973121833,4539,Undiverse,,
100030,alexander city,AL,town-distant,1994-1995,0.0,0.184794086589229,36.7476240760296,0.184794086589229,62.882787750792,,3788,Diverse,,
100030,alexander city,AL,town-distant,2016-2017,0.0,1.08019639934534,40.0,6.67757774140753,50.1145662847791,2.12765957446809,3055,Diverse,,
100060,andalusia city,AL,town-remote,1994-1995,0.191296030607365,0.143472022955524,24.5337159253945,0.0956480153036825,75.0358680057389,,2091,Undiverse,,
100060,andalusia city,AL,town-remote,2016-2017,0.172018348623853,1.66284403669725,30.5619266055046,2.23623853211009,62.901376146789,2.46559633027523,1744,Diverse,,
100090,anniston city,AL,city-small,1994-1995,0.0279017857142857,0.334821428571429,80.9430803571429,0.725446428571429,17.96875,,3584,Undiverse,,
100090,anniston city,AL,city-small,2016-2017,0.0,0.193330111164814,90.2368293861769,3.62493958434026,4.63992266795553,1.30497825036249,2069,Extremely undiverse,,
100100,arab city,AL,rural-fringe,1994-1995,0.159808230123851,0.239712345185777,0.0,0.159808230123851,99.4406711945665,,2503,Extremely undiverse,,
100100,arab city,AL,rural-fringe,2016-2017,0.344563552833078,1.33996937212864,0.153139356814701,2.56508422664625,94.4869831546707,1.11026033690659,2612,Extremely undiverse,,
100120,athens city,AL,town-fringe,1994-1995,0.171526586620926,0.823327615780446,24.8713550600343,1.06346483704974,73.0703259005146,,2915,Diverse,0.00307451087358,Highly integrated
100120,athens city,AL,town-fringe,2016-2017,0.721709006928406,1.84757505773672,20.8140877598152,18.2448036951501,51.9919168591224,6.37990762124711,3464,Diverse,0.0035202249849399,Highly integrated
