State,_art_year,_art_value
Alabama,2004.0,5682.838120380147
Alaska,2004.0,4328.28136219641
Arizona,2004.0,5138.495311510031
Arkansas,2004.0,5772.301869060189
California,2004.0,5285.921488912354
Colorado,2004.0,4703.777096092925
Connecticut,2004.0,7983.694530095036
Delaware,2004.0,8352.89
Florida,2004.0,3848.201246040126
Georgia,2004.0,4298.0400950369585
Hawaii,2004.0,4266.538775079197
Idaho,2004.0,4524.84959873284
Illinois,2004.0,8182.782872228087
Indiana,2004.0,7367.528711721224
Iowa,2004.0,6813.105480464625
Kansas,2004.0,5345.143970432946
Kentucky,2004.0,5639.996325237592
Louisiana,2004.0,4453.0265892291445
Maine,2004.0,7057.555723336853
Maryland,2004.0,8530.557444561773
Massachusetts,2004.0,8863.211383315733
Michigan,2004.0,7930.772312565997
Minnesota,2004.0,8143.721235480463
Mississippi,2004.0,5028.870718057022
Missouri,2004.0,7477.1533051742335
Montana,2004.0,5629.9159028511085
Nebraska,2004.0,5947.449208025342
Nevada,2004.0,3621.3917423442444
New Hampshire,2004.0,10187.52687434002
New Jersey,2004.0,10053.961277719112
New Mexico,2004.0,4925.546388595564
New York,2004.0,6234.741246040126
North Carolina,2004.0,4493.348278775079
North Dakota,2004.0,5803.803189017951
Ohio,2004.0,10377.934353284025
Oklahoma,2004.0,4454.286642027455
Oregon,2004.0,6578.73565997888
Pennsylvania,2004.0,10394.175533262935
Rhode Island,2004.0,7475.893252375923
South Carolina,2004.0,8330.20904963041
South Dakota,2004.0,5478.709567053854
Tennessee,2004.0,5425.787349524815
Texas,2004.0,6394.767951425553
Utah,2004.0,4125.412861668427
Vermont,2004.0,11067.043727560716
Virginia,2004.0,7029.834561774022
Washington,2004.0,6191.89945089757
West Virginia,2004.0,4575.2517106652585
Wisconsin,2004.0,6574.955501583949
Wyoming,2004.0,4086.351224920802
Alabama,2005.0,5840.549785056294
Alaska,2005.0,4632.623449334697
Arizona,2005.0,5415.516049129989
Arkansas,2005.0,6082.37932446264
California,2005.0,5527.88128966223
Colorado,2005.0,5406.966519959058
Connecticut,2005.0,8249.074288638689
Delaware,2005.0,8610.597236438074
Florida,2005.0,3924.2338894575228
Georgia,2005.0,4492.166898669396
Hawaii,2005.0,4263.772333674513
Idaho,2005.0,4790.179058341862
Illinois,2005.0,8444.492098259978
Indiana,2005.0,7517.478863868986
Iowa,2005.0,6862.829201637665
Kansas,2005.0,5739.176796315251
Kentucky,2005.0,6142.22602865916
Louisiana,2005.0,4512.930040941657
Maine,2005.0,7407.55634595701
Maryland,2005.0,8716.85567041965
Massachusetts,2005.0,8958.685209825997
Michigan,2005.0,8668.00121801433
Minnesota,2005.0,8481.13293756397
Mississippi,2005.0,5110.1757215967245
Missouri,2005.0,7659.156775844421
Montana,2005.0,6006.6549232343905
Nebraska,2005.0,6475.6576663254855
Nevada,2005.0,3687.2897952917087
New Hampshire,2005.0,10484.16548618219
New Jersey,2005.0,10504.92862845445
New Mexico,2005.0,5187.121484135107
New York,2005.0,6114.134718526099
North Carolina,2005.0,4464.075588536335
North Dakota,2005.0,6197.187287615147
Ohio,2005.0,10186.406343171831
Oklahoma,2005.0,4638.730255885363
Oregon,2005.0,6631.991914022517
Pennsylvania,2005.0,10556.22580348004
Rhode Island,2005.0,7864.345475946775
South Carolina,2005.0,9019.75327533265
South Dakota,2005.0,5609.712497441145
Tennessee,2005.0,5817.343920163766
Texas,2005.0,6577.030655066529
Utah,2005.0,4376.137574206755
Vermont,2005.0,11295.14939611054
Virginia,2005.0,7356.259170931422
Washington,2005.0,6414.589600818833
West Virginia,2005.0,4727.889631525076
