week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,synopsis,start_date
1985-06-09,1,3915937.0,42nd Street,St. James Theatre,282368.0,,30.42,,9281,1655,0.701,8,0,"A chorus girl from Allentown, PA, steps into the starring role to save the show when its star breaks her leg, in this stage adaptation of the classic 1933 film musical.",1980-08-18
1985-06-09,1,3915937.0,A Chorus Line,Sam S. Shubert Theatre,222584.0,,27.25,,8167,1472,0.6935,8,0,"Broadway gypsies bare their souls and put their lives ""on the line"" as they audition for an unnamed Broadway musical. The 1975 show won the Pulitzer Prize and the Tony Award for Best Musical.",1975-07-25
1985-06-09,1,3915937.0,Aren't We All?,Brooks Atkinson Theatre,249272.0,,33.75,,7386,1088,0.8486,8,0,English nobility seek out marriage proposals — and proof of extramarital philandering — at a stately country club.,1985-04-29
1985-06-09,1,3915937.0,Arms and the Man,Circle in the Square Theatre,95688.0,,20.87,,4586,682,0.8405,8,0,,1985-05-30
1985-06-09,1,3915937.0,As Is,Lyceum Theatre,61059.0,,20.78,,2938,684,0.5369,8,0,,1985-05-01
1985-06-09,1,3915937.0,Big River,Eugene O'Neill Theatre,255386.0,,31.96,,7992,1018,0.9813,8,0,"In Roger Miller and William Hauptman's musical adaptation of Mark Twain's The Adventures of Huckleberry Finn, rebellious teenager Huck takes off on a raft with runaway slave Jim, encountering conmen, an orphaned family and bigotry along the way.",1985-04-25
1985-06-09,1,3915937.0,Biloxi Blues,Neil Simon Theatre,306839.0,,28.33,,10831,1336,1.0134,8,0,"In the second installment of Neil Simon's autobiographical Brighton Beach trilogy, Eugene Jerome (a fictionalized version of Simon) goes into basic training to serve in World War II, finding romance and developing his writing talents by observing the diverse group of men he serves with — and the strange sergeant he serves under.",1985-03-28
1985-06-09,1,3915937.0,Brighton Beach Memoirs,46th Street Theatre,107392.0,,18.93,,5672,1368,0.5183,8,0,Neil Simon's semi-autobiographical comedy follows Depression-era teenager Eugene Jerome as he pursues his dreams of becoming a successful comedy writer and deals with the conflicts of his squabbling family.,1983-03-27
1985-06-09,1,3915937.0,Cats,Winter Garden Theatre,461880.0,,38.35,,12043,1482,1.0158,8,0,,1982-10-07
1985-06-09,1,3915937.0,Doubles,Ritz Theatre,47452.0,,17.52,,2709,499,0.6786,8,0,"An evening of two one-act plays.  In Solitaire, a man is almost dehumanized by the regimented computerization of the future.  In Double Solitaire, a contemporary married couple examines their emotional lies.",1985-05-08
1985-06-09,1,3915937.0,Grind,Mark Hellinger Theatre,189253.0,,32.62,,5801,1591,0.4558,8,0,,1985-04-16
1985-06-09,1,3915937.0,La Cage aux Folles,Palace Theatre,408860.0,,34.3,,11921,1683,0.8854,8,0,,1983-08-09
1985-06-09,1,3915937.0,Leader of the Pack,Ambassador Theatre,122005.0,,23.42,,5210,1083,0.6013,8,0,"Ellie Greenwich and her husband Jeff Barry collaborate on several hit pop tunes in the 1960s, including ""Chapel of Love,"" ""Da Doo Ron Ron,"" and the title tune of this musical biography that features an appearance by the real-life Greenwich.",1985-02-21
1985-06-09,1,3915937.0,Oh! Calcutta!,Edison Theatre,32330.0,,14.22,,2273,499,0.5061,9,0,"Kenneth Tynan devised this musical revue, to which Samuel Beckett, John Lennon, Sam Shepard and others contributed sketches and songs of a cheekily erotic nature. The cast performs in the nude.",1976-09-24
1985-06-09,1,3915937.0,Singin' in the Rain,Gershwin Theatre,243424.0,,24.05,,10120,1933,0.6544,0,8,"A 1920s silent-screen romantic duo prepares for the arrival of motion-picture sound, and the leading man falls for the girl called in to dub over the screechy voice of his onscreen partner, in this adaptation of the 1952 film musical.",1985-06-13
