gutenberg_id,text,title,gutenberg_author_id,author,birthdate,deathdate,wikipedia,aliases,_art_year
46,A CHRISTMAS CAROL,A Christmas Carol in Prose; Being a Ghost Story of Christmas,37,"Dickens, Charles",1812.0,1870.0,https://en.wikipedia.org/wiki/Charles_Dickens,"Boz/Dickens, Charles John Huffam",1970.0
1902,The Old Peabody Pew: A Christmas Romance of a Country Church,The Old Peabody Pew: A Christmas Romance of a Country Church,266,"Wiggin, Kate Douglas Smith",1856.0,1923.0,https://en.wikipedia.org/wiki/Kate_Douglas_Wiggin,"Riggs, Kate Douglas Smith Wiggin/Smith, Kate Douglas/Riggs, George Christopher, Mrs./Wiggin, Samuel Bradley, Mrs.",1970.0
2731,THE CHRISTMAS BOOKS,The Christmas Books of Mr. M.A. Titmarsh,313,"Thackeray, William Makepeace",1811.0,1863.0,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray,"Titmarsh, Michael Angelo/Thackeray, W. M./Titmarsh, M. A./Thackeray, William M.",1970.0
4384,THE LOST WORD,The Lost Word: A Christmas Legend of Long Ago,362,"Van Dyke, Henry",1852.0,1933.0,https://en.wikipedia.org/wiki/Henry_van_Dyke,"Dyke, Henry Van/Dyke, Henry Jackson Van/Dyke, Henry I. Van",1970.0
8694,THE ABBOT'S GHOST,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story",102,"Alcott, Louisa May",1832.0,1888.0,https://en.wikipedia.org/wiki/Louisa_May_Alcott,"Barnard, A. M./Alcott, Louisa M. (Louisa May)/Alcott, L. M. (Louisa May)",1970.0
10707,"""_I cannot tell how the truth may be:",A Christmas Mystery: The Story of Three Wise Men,1324,"Locke, William John",1863.0,1930.0,https://en.wikipedia.org/wiki/William_John_Locke,"Locke, William J. (William John)/Locke, W. J. (William John)",1970.0
10813,A VERSAILLES CHRISTMAS-TIDE,A Versailles Christmas-Tide,3695,"Boyd, Mary Stuart",1860.0,1937.0,,,1970.0
12881,MRS. BUDLONG'S CHRISTMAS PRESENTS,Mrs. Budlong's Christmas Presents,2334,"Hughes, Rupert",1872.0,1956.0,https://en.wikipedia.org/wiki/Rupert_Hughes,,1970.0
14534,CHRISTMAS WITH GRANDMA ELSIE,Christmas with Grandma Elsie,2044,"Finley, Martha",1828.0,1909.0,https://en.wikipedia.org/wiki/Martha_Finley,"Farquharson, Martha/Cousin Martha",1970.0
14606,AND THUS HE CAME,And Thus He Came: A Christmas Fantasy,5591,"Brady, Cyrus Townsend",1861.0,1920.0,https://en.wikipedia.org/wiki/Cyrus_Townsend_Brady,,1970.0
14835,[Illustration: The Burglar],The Burglar and the Blizzard: A Christmas Story,3939,"Miller, Alice Duer",1874.0,1942.0,https://en.wikipedia.org/wiki/Alice_Duer_Miller,"Duer, Alice",1970.0
