publisher,page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,month,year,date
Marvel,1678,Spider-Man (Peter Parker),\/Spider-Man_(Peter_Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,4043.0,"1962, August",August,1962.0,1962-08-01
Marvel,7139,Captain America (Steven Rogers),\/Captain_America_(Steven_Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,3360.0,"1941, March",March,1941.0,1941-03-01
Marvel,64786,"Wolverine (James \""Logan\"" Howlett)",\/Wolverine_(James_%22Logan%22_Howlett),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,3061.0,"1974, October",October,1974.0,1974-10-01
Marvel,1868,"Iron Man (Anthony \""Tony\"" Stark)",\/Iron_Man_(Anthony_%22Tony%22_Stark),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961.0,"1963, March",March,1963.0,1963-03-01
Marvel,2460,Thor (Thor Odinson),\/Thor_(Thor_Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2258.0,"1950, November",November,1950.0,1950-11-01
Marvel,2458,Benjamin Grimm (Earth-616),\/Benjamin_Grimm_(Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,2255.0,"1961, November",November,1961.0,1961-11-01
Marvel,2166,Reed Richards (Earth-616),\/Reed_Richards_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2072.0,"1961, November",November,1961.0,1961-11-01
Marvel,1833,Hulk (Robert Bruce Banner),\/Hulk_(Robert_Bruce_Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2017.0,"1962, May",May,1962.0,1962-05-01
Marvel,29481,Scott Summers (Earth-616),\/Scott_Summers_(Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1955.0,"1963, September",September,1963.0,1963-09-01
Marvel,1837,Jonathan Storm (Earth-616),\/Jonathan_Storm_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1934.0,"1961, November",November,1961.0,1961-11-01
Marvel,15725,Henry McCoy (Earth-616),\/Henry_McCoy_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,,Living Characters,1825.0,"1963, September",September,1963.0,1963-09-01
Marvel,1863,Susan Storm (Earth-616),\/Susan_Storm_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1713.0,"1961, November",November,1961.0,1961-11-01
Marvel,7823,Namor McKenzie (Earth-616),\/Namor_McKenzie_(Earth-616),No Dual Identity,,Green Eyes,Black Hair,Male Characters,,Living Characters,1528.0,"NA, NA",,,
Marvel,2614,Ororo Munroe (Earth-616),\/Ororo_Munroe_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,1512.0,"1975, May",May,1975.0,1975-05-01
Marvel,1803,Clinton Barton (Earth-616),\/Clinton_Barton_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1394.0,"1964, September",September,1964.0,1964-09-01
Marvel,1396,Matthew Murdock (Earth-616),\/Matthew_Murdock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,1338.0,"1964, April",April,1964.0,1964-04-01
Marvel,55534,Stephen Strange (Earth-616),\/Stephen_Strange_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,1307.0,"1963, July",July,1963.0,1963-07-01
Marvel,1978,Mary Jane Watson (Earth-616),\/Mary_Jane_Watson_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,1304.0,"1965, June",June,1965.0,1965-06-01
Marvel,1872,John Jonah Jameson (Earth-616),\/John_Jonah_Jameson_(Earth-616),No Dual Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266.0,"1963, March",March,1963.0,1963-03-01
Marvel,35350,Robert Drake (Earth-616),\/Robert_Drake_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1265.0,"1963, September",September,1963.0,1963-09-01
Marvel,1557,Henry Pym (Earth-616),\/Henry_Pym_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237.0,"1962, January",January,1962.0,1962-01-01
Marvel,65255,Charles Xavier (Earth-616),\/Charles_Xavier_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,1233.0,"1963, September",September,1963.0,1963-09-01
Marvel,1073,Warren Worthington III (Earth-616),\/Warren_Worthington_III_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230.0,"1963, September",September,1963.0,1963-09-01
Marvel,1346,Piotr Rasputin (Earth-616),\/Piotr_Rasputin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1162.0,"1975, May",May,1975.0,1975-05-01
Marvel,2512,Wanda Maximoff (Earth-616),\/Wanda_Maximoff_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,1161.0,"1964, March",March,1964.0,1964-03-01
Marvel,1671,Nicholas Fury (Earth-616),\/Nicholas_Fury_(Earth-616),No Dual Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1137.0,"1963, May",May,1963.0,1963-05-01
Marvel,1976,Janet van Dyne (Earth-616),\/Janet_van_Dyne_(Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,1120.0,"1963, June",June,1963.0,1963-06-01
Marvel,65219,Jean Grey (Earth-616),\/Jean_Grey_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107.0,"1963, September",September,1963.0,1963-09-01
Marvel,6545,Natalia Romanova (Earth-616),\/Natalia_Romanova_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050.0,"1964, April",April,1964.0,1964-04-01
Marvel,2223,Kurt Wagner (Earth-616),\/Kurt_Wagner_(Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047.0,"1975, May",May,1975.0,1975-05-01
Marvel,2414,Vision (Earth-616),\/Vision_(Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Living Characters,1007.0,"1968, October",October,1968.0,1968-10-01
Marvel,8650,May Reilly (Earth-616),\/May_Reilly_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1000.0,"1962, August",August,1962.0,1962-08-01
Marvel,2527,Katherine Pryde (Earth-616),\/Katherine_Pryde_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886.0,"1980, January",January,1980.0,1980-01-01
Marvel,1970,Carol Danvers (Earth-616),\/Carol_Danvers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881.0,"1968, March",March,1968.0,1968-03-01
Marvel,37690,Jennifer Walters (Earth-616),\/Jennifer_Walters_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,881.0,"1980, February",February,1980.0,1980-02-01
Marvel,3765,Emma Frost (Earth-616),\/Emma_Frost_(Earth-616),Public Identity,,Blue Eyes,Brown Hair,Female Characters,,Living Characters,880.0,"1980, January",January,1980.0,1980-01-01
Marvel,2312,Frank Castle (Earth-616),\/Frank_Castle_(Earth-616),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,878.0,"1974, February",February,1974.0,1974-02-01
Marvel,1265,Luke Cage (Earth-616),\/Luke_Cage_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856.0,"1972, June",June,1972.0,1972-06-01
Marvel,1677,Rogue (Anna Marie) (Earth-616),\/Rogue_(Anna_Marie)_(Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,850.0,"NA, NA",,,
Marvel,25222,Conan (Earth-616),\/Conan_(Earth-616),No Dual Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,787.0,"1970, October",October,1970.0,1970-10-01
Marvel,6537,Joseph Robertson (Earth-616),\/Joseph_Robertson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752.0,"1967, August",August,1967.0,1967-08-01
Marvel,1592,Pietro Maximoff (Earth-616),\/Pietro_Maximoff_(Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740.0,"1964, March",March,1964.0,1964-03-01
Marvel,1818,Hercules (Earth-616),\/Hercules_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725.0,"1965, October",October,1965.0,1965-10-01
Marvel,1448,Victor von Doom (Earth-616),\/Victor_von_Doom_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721.0,"1962, July",July,1962.0,1962-07-01
Marvel,2081,Max Eisenhardt (Earth-616),\/Max_Eisenhardt_(Earth-616),Public Identity,,Grey Eyes,Bald,Male Characters,,Living Characters,709.0,"1963, September",September,1963.0,1963-09-01
Marvel,2307,Elizabeth Braddock (Earth-616),\/Elizabeth_Braddock_(Earth-616),Secret Identity,,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708.0,"1976, December",December,1976.0,1976-12-01
Marvel,2556,Norrin Radd (Earth-616),\/Norrin_Radd_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696.0,"1966, March",March,1966.0,1966-03-01
Marvel,1740,Norman Osborn (Earth-616),\/Norman_Osborn_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692.0,"1964, July",July,1964.0,1964-07-01
Marvel,8651,Eugene Thompson (Earth-616),\/Eugene_Thompson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689.0,"1962, August",August,1962.0,1962-08-01
Marvel,2009,Simon Williams (Earth-616),\/Simon_Williams_(Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686.0,"1964, October",October,1964.0,1964-10-01
Marvel,1276,Samuel Guthrie (Earth-616),\/Samuel_Guthrie_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657.0,"1982, November",November,1982.0,1982-11-01
Marvel,15823,James Buchanan Barnes (Earth-616),\/James_Buchanan_Barnes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641.0,"1941, March",March,1941.0,1941-03-01
Marvel,1680,Remy LeBeau (Earth-616),\/Remy_LeBeau_(Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636.0,"1990, July",July,1990.0,1990-07-01
Marvel,1866,Daniel Rand (Earth-616),\/Daniel_Rand_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618.0,"1974, May",May,1974.0,1974-05-01
Marvel,32498,Nathan Summers (Earth-616),\/Nathan_Summers_(Earth-616),Public Identity,,Blue Eyes,White Hair,Male Characters,,Living Characters,612.0,"1986, January",January,1986.0,1986-01-01
