Entity,Code,Year,Per capita mismanaged plastic waste (kilograms per person per day),"GDP per capita, PPP (constant 2011 international $) (Rate)",Total population (Gapminder),Code_per-capita-plastic-waste-vs-gdp-per-capita,Year_per-capita-plastic-waste-vs-gdp-per-capita,Per capita plastic waste (kilograms per person per day),"GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)",Total population (Gapminder)_per-capita-plastic-waste-vs-gdp-per-capita,Code_coastal-population-vs-mismanaged-plastic,Year_coastal-population-vs-mismanaged-plastic,Mismanaged plastic waste (tonnes),Coastal population,Total population (Gapminder)_coastal-population-vs-mismanaged-plastic,_art_year
Afghanistan,AFG,1800,,,3280000.0,AFG,1800,,,3280000.0,AFG,1800.0,,,3280000.0,1800
Albania,ALB,1700,,,300000.0,ALB,1700,,,300000.0,ALB,1700.0,,,300000.0,1700
Algeria,DZA,1700,,,1750000.0,DZA,1700,,,1750000.0,DZA,1700.0,,,1750000.0,1700
American Samoa,ASM,1700,,,7427.0,ASM,1700,,,7427.0,ASM,1700.0,,,7427.0,1700
Andorra,AND,1800,,,2654.0,AND,1800,,,2654.0,AND,1800.0,,,2654.0,1800
Angola,AGO,1800,,,1567028.0,AGO,1800,,,1567028.0,AGO,1800.0,,,1567028.0,1800
Anguilla,AIA,1800,,,2025.0,AIA,1800,,,2025.0,AIA,1800.0,,,2025.0,1800
Antigua and Barbuda,ATG,1800,,,37000.0,ATG,1800,,,37000.0,ATG,1800.0,,,37000.0,1800
Arab World,,1990,,10450.2085420709,,,1990,,10450.2085420709,,,,,,,1990
Argentina,ARG,1800,,,534000.0,ARG,1800,,,534000.0,ARG,1800.0,,,534000.0,1800
Armenia,ARM,1800,,,413326.0,ARM,1800,,,413326.0,ARM,1800.0,,,413326.0,1800
Aruba,ABW,1800,,,19286.0,ABW,1800,,,19286.0,ABW,1800.0,,,19286.0,1800
Australia,AUS,1700,,,450000.0,AUS,1700,,,450000.0,AUS,1700.0,,,450000.0,1700
Austria,AUT,1700,,,2500000.0,AUT,1700,,,2500000.0,AUT,1700.0,,,2500000.0,1700
Azerbaijan,AZE,1800,,,879960.0,AZE,1800,,,879960.0,AZE,1800.0,,,879960.0,1800
Bahamas,BHS,1800,,,27350.0,BHS,1800,,,27350.0,BHS,1800.0,,,27350.0,1800
Bahrain,BHR,1800,,,64474.0,BHR,1800,,,64474.0,BHR,1800.0,,,64474.0,1800
Bangladesh,BGD,1700,,,15789473.0,BGD,1700,,,15789473.0,BGD,1700.0,,,15789473.0,1700
Barbados,BRB,1800,,,81729.0,BRB,1800,,,81729.0,BRB,1800.0,,,81729.0,1800
Belarus,BLR,1800,,,2355081.0,BLR,1800,,,2355081.0,BLR,1800.0,,,2355081.0,1800
Belgium,BEL,1700,,,2000000.0,BEL,1700,,,2000000.0,BEL,1700.0,,,2000000.0,1700
Belize,BLZ,1800,,,25526.0,BLZ,1800,,,25526.0,BLZ,1800.0,,,25526.0,1800
Benin,BEN,1800,,,636559.0,BEN,1800,,,636559.0,BEN,1800.0,,,636559.0,1800
Bermuda,BMU,1730,,,8774.0,BMU,1730,,,8774.0,BMU,1730.0,,,8774.0,1730
Bhutan,BTN,1800,,,89989.0,BTN,1800,,,89989.0,BTN,1800.0,,,89989.0,1800
Bolivia,BOL,1800,,,1100000.0,BOL,1800,,,1100000.0,BOL,1800.0,,,1100000.0,1800
Bosnia and Herzegovina,BIH,1800,,,851806.0,BIH,1800,,,851806.0,BIH,1800.0,,,851806.0,1800
Botswana,BWA,1800,,,121000.0,BWA,1800,,,121000.0,BWA,1800.0,,,121000.0,1800
Brazil,BRA,1700,,,1250000.0,BRA,1700,,,1250000.0,BRA,1700.0,,,1250000.0,1700
British Virgin Islands,VGB,1800,,,6700.0,VGB,1800,,,6700.0,VGB,1800.0,,,6700.0,1800
Brunei,BRN,1800,,,2128.0,BRN,1800,,,2128.0,BRN,1800.0,,,2128.0,1800
Bulgaria,BGR,1700,,,1250000.0,BGR,1700,,,1250000.0,BGR,1700.0,,,1250000.0,1700
Burkina Faso,BFA,1800,,,1665421.0,BFA,1800,,,1665421.0,BFA,1800.0,,,1665421.0,1800
Burundi,BDI,1800,,,899097.0,BDI,1800,,,899097.0,BDI,1800.0,,,899097.0,1800
