Date,Texas,"""Puerto Rico""",Florida,"title:""Puerto Rico""","title:""Puerto Rico"" AND (title:Trump OR title:President)",title:Florida,title:Florida AND (title:Trump OR title:President),title:Texas,title:Texas AND (title:Trump OR title:President),Harvey,Irma,Maria,Jose,Harvey_week12_tv_hurricanes,Irma_week12_tv_hurricanes,Maria_week12_tv_hurricanes,Jose_week12_tv_hurricanes,_art_year
8/20/17,295,32,239,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
8/21/17,998,24,527,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
8/22/17,696,32,577,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
8/23/17,1130,36,596,,,,,,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
8/24/17,1851,135,933,,,,,,,309.0,0.0,0.0,0.0,0.1259,0.0,0.0,0.0,2017
8/25/17,2693,39,533,,,,,,,1348.0,1.0,0.0,0.0,0.7544,0.0,0.0,0.0,2017
8/26/17,1953,15,199,,,,,,,995.0,0.0,0.0,0.0,0.8878,0.0,0.0,0.0,2017
8/27/17,2962,11,211,,,,,,,960.0,0.0,0.0,0.0,0.2163,0.0,0.0,0.0,2017
8/28/17,5072,42,569,,,,,,,1956.0,1.0,0.0,0.0,0.3013,0.0,0.0,0.0,2017
8/29/17,5013,14,508,,,,,,,2283.0,0.0,0.0,0.0,0.2395,0.0,0.0,0.0,2017
8/30/17,4436,42,589,,,,,,,1603.0,0.0,0.0,0.0,0.318,0.0101,0.0,0.0,2017
8/31/17,3935,40,553,,,,,,,1503.0,61.0,0.0,0.0,0.3217,0.0148,0.0,0.0,2017
9/1/17,2746,18,651,,,,,,,1109.0,66.0,0.0,0.0,0.4643,0.0632,0.0,0.0,2017
9/2/17,1919,15,569,,,,,,,700.0,36.0,0.0,0.0,0.4694,0.047,0.0,0.0,2017
9/3/17,1435,50,528,,,,,,,546.0,52.0,0.0,0.0,0.277,0.033,0.0,0.0,2017
9/4/17,1522,224,584,,,,,,,713.0,221.0,0.0,0.0,0.2308,0.0767,0.0,0.0,2017
9/5/17,2114,500,1580,,,,,,,1203.0,793.0,0.0,0.0,0.2466,0.2577,0.0,0.0118,2017
9/6/17,1728,938,2781,,,,,,,933.0,1668.0,0.0,31.0,0.2737,0.5302,0.0,0.0196,2017
9/7/17,1607,635,3056,,,,,,,744.0,1994.0,0.0,93.0,0.2039,0.669,0.0,0.0366,2017
9/8/17,1384,227,3434,,,,,,,716.0,2049.0,0.0,167.0,0.1884,0.862,0.0,0.0605,2017
9/9/17,814,121,2974,,,,,,,420.0,1595.0,0.0,195.0,0.1134,0.948,0.0,0.0565,2017
9/10/17,724,154,4003,,,,,,,278.0,2544.0,0.0,94.0,0.1099,0.4994,0.0,0.0223,2017
9/11/17,1226,151,3760,,,,,,,400.0,2416.0,0.0,61.0,0.0948,0.7643,0.0,0.019,2017
9/12/17,1224,143,2525,,,,,,,508.0,1388.0,0.0,42.0,0.0743,0.5085,0.0,0.018,2017
9/13/17,1067,73,2004,,,,,,,465.0,1057.0,1.0,50.0,0.0522,0.2756,0.0,0.0088,2017
9/14/17,1007,127,1781,,,,,,,338.0,896.0,0.0,9.0,0.0389,0.3174,0.0,0.017,2017
9/15/17,1122,56,1087,,,,,,,266.0,488.0,6.0,30.0,0.0343,0.1035,0.0,0.0076,2017
9/16/17,554,36,703,,,,,,,89.0,316.0,1.0,65.0,0.0207,0.1087,0.0,0.0355,2017
9/17/17,522,125,542,,,,,,,107.0,244.0,41.0,78.0,0.0087,0.109,0.0184,0.0337,2017
9/18/17,725,485,700,,,,,,,288.0,360.0,304.0,63.0,0.0242,0.1168,0.129,0.0331,2017
9/19/17,983,908,912,,,,,,,196.0,575.0,518.0,82.0,0.0355,0.0812,0.3079,0.0359,2017
9/20/17,866,1461,700,,,,,,,234.0,300.0,545.0,20.0,0.0259,0.1266,0.5094,0.0146,2017
9/21/17,799,1415,620,,,,,,,169.0,262.0,528.0,7.0,0.0412,0.0739,0.338,0.0076,2017
9/22/17,1070,1270,577,,,,,,,155.0,175.0,409.0,1.0,0.0324,0.0354,0.168,0.0,2017
9/23/17,844,665,541,,,,,,,12.0,5.0,1.0,0.0,0.037,0.0147,0.0834,0.0,2017
9/24/17,411,674,360,,,,,,,4.0,3.0,0.0,0.0,0.0156,0.0,0.0652,0.0,2017
9/25/17,812,1562,518,,,,,,,0.0,0.0,0.0,0.0,0.0353,0.0345,0.1183,0.0,2017
9/26/17,1295,2577,832,,,,,,,0.0,0.0,0.0,0.0,,,,,2017
9/27/17,924,2107,728,,,,,,,,,,,,,,,2017
9/28/17,863,2177,675,,,,,,,,,,,,,,,2017
9/29/17,949,2202,559,,,,,,,,,,,,,,,2017
9/30/17,504,1593,491,,,,,,,,,,,,,,,2017
10/1/17,604,1394,621,,,,,,,,,,,,,,,2017
10/2/17,839,1026,684,,,,,,,,,,,,,,,2017
10/3/17,891,2217,746,,,,,,,,,,,,,,,2017
10/4/17,779,1492,635,,,,,,,,,,,,,,,2017
10/5/17,907,824,722,,,,,,,,,,,,,,,2017
10/6/17,758,1252,695,,,,,,,,,,,,,,,2017
10/7/17,411,352,466,,,,,,,,,,,,,,,2017
10/8/17,400,317,395,,,,,,,,,,,,,,,2017
10/9/17,828,580,427,,,,,,,,,,,,,,,2017
