WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
1,1,1140441,Akmenes aglomeracija,Lithuania,LTU,56.247,22.726,2,56.223,22.627,Not Reported,1060,2,148.213,4,Advanced,1,2421.974,20228874.0,4.153,0,0,4600.0,2
2,1,1140443,Alytaus m aglomeracija,Lithuania,LTU,54.432,24.056,2,54.519,24.098,Not Reported,87900,2,8797.904,1,Advanced,1,2534.527,20261585.0,257.983,0,0,220000.0,2
3,1,1140445,Anyksciu aglomeracija,Lithuania,LTU,55.509,25.073,2,55.452,25.006,Not Reported,12400,2,1959.285,1,Advanced,1,1367.809,20243105.0,30.995,0,0,33000.0,2
4,1,1140447,Ariogalos aglomeracija,Lithuania,LTU,55.252,23.484,2,55.21,23.51,Not Reported,2500,2,578.482,1,Secondary,1,2061.969,20247446.0,13.799,0,0,4357.0,2
5,1,1140449,Baisogalos aglomeracija,Lithuania,LTU,55.644,23.741,2,55.681,23.835,Not Reported,1200,2,167.788,4,Secondary,1,209.549,20239330.0,0.405,0,0,1490.0,2
6,1,1140451,Birstono   Prienu aglomeracija,Lithuania,LTU,54.623,24.062,2,54.715,24.094,Not Reported,12400,2,2239.471,1,Advanced,1,10366.24,20256987.0,268.665,0,0,19000.0,2
7,1,1140453,Birzu aglomeracija,Lithuania,LTU,56.17,24.745,2,56.256,24.731,Not Reported,14400,2,2515.89,1,Advanced,1,147.777,20228299.0,4.274,0,0,17500.0,2
8,1,1140455,Druskininku aglomeracija,Lithuania,LTU,54.048,24.01,2,54.069,24.11,Not Reported,16800,2,4666.575,1,Advanced,1,4203.788,20270142.0,226.998,0,0,26036.0,2
9,1,1140457,Eisiskiu aglomeracija,Lithuania,LTU,54.175,24.988,2,54.206,24.919,Not Reported,1500,2,310.285,1,Advanced,1,352.687,20266856.0,1.263,0,0,2250.0,2
10,1,1140459,Elektrenu Vievio aglomeracija,Lithuania,LTU,54.771,24.627,2,54.781,24.531,Not Reported,11400,2,2665.044,1,Advanced,1,118.846,20255209.0,3.635,0,0,19738.0,2
