year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1985,MN,Yellow Medicine County,rural,Midwest,West North Central,Male,3803.0,0.0,1985
1976,WY,Carbon County,rural,West,Mountain,White,10954.0,,1976
1996,WA,Whitman County,rural,West,Pacific,Native American,223.0,,1996
2014,SD,Jones County,rural,Midwest,West North Central,Asian,5.0,,2014
2006,CO,Pueblo County,small/mid,West,Mountain,Black,1836.0,,2006
1995,NE,Cedar County,rural,Midwest,West North Central,Female,2659.0,0.0,1995
2002,NY,Clinton County,rural,Northeast,Middle Atlantic,White,51410.0,,2002
2003,KY,Lawrence County,rural,South,East South Central,Total,10419.0,22.5581,2003
2009,NC,Cherokee County,rural,South,South Atlantic,White,15851.0,,2009
1981,MD,Allegany County,small/mid,South,South Atlantic,Total,52578.0,15.69231,1981
1982,NH,Hillsborough County,small/mid,Northeast,New England,Male,94805.0,19.28572,1982
1994,NE,Kimball County,rural,Midwest,West North Central,Asian,0.0,,1994
2005,PA,McKean County,rural,Northeast,Middle Atlantic,Native American,85.0,,2005
2000,TX,Swisher County,rural,South,West South Central,Native American,22.0,,2000
1994,UT,Kane County,rural,West,Middle Atlantic,White,3205.0,,1994
2005,AR,Baxter County,rural,South,West South Central,Total,23288.0,22.0,2005
1972,GA,Pierce County,rural,South,South Atlantic,White,4962.0,,1972
2010,CO,Lincoln County,rural,West,Mountain,Total,3668.0,13.85714,2010
1997,AR,Nevada County,rural,South,West South Central,Asian,0.0,,1997
1973,SD,Turner County,small/mid,Midwest,West North Central,Female,2662.0,0.0,1973
2005,OH,Auglaize County,rural,Midwest,East North Central,White,28910.0,,2005
1973,NY,Chautauqua County,rural,Northeast,Middle Atlantic,Latino,,,1973
2016,MN,Olmsted County,small/mid,Midwest,West North Central,White,80950.0,,2016
1984,NM,Los Alamos County,rural,West,Mountain,Latino,,,1984
1973,KS,Wallace County,rural,Midwest,West North Central,Other,8.0,,1973
2003,GA,Hancock County,rural,South,South Atlantic,White,1521.0,,2003
1981,LA,Orleans Parish,urban,South,West South Central,Other,4974.0,,1981
2001,GA,Newton County,suburban,South,South Atlantic,Asian,452.0,,2001
1978,LA,Sabine Parish,rural,South,West South Central,Asian,,,1978
1987,GA,Jefferson County,rural,South,South Atlantic,Male,5089.0,15.0,1987
1989,KY,Marshall County,rural,South,East South Central,Black,10.0,,1989
1984,GA,Wilkinson County,rural,South,South Atlantic,Latino,,,1984
2006,ID,Camas County,rural,West,Mountain,Black,1.0,,2006
2015,TN,Weakley County,rural,South,East South Central,Female,11401.0,6.0,2015
2008,MO,Dallas County,small/mid,Midwest,West North Central,Female,5346.0,8.0,2008
1980,OH,Sandusky County,rural,Midwest,East North Central,White,39463.0,,1980
2012,TN,Greene County,rural,South,East South Central,Total,45019.0,215.0,2012
1979,VA,King William County,suburban,South,South Atlantic,Latino,,,1979
1973,KY,Mason County,rural,South,East South Central,White,9778.0,,1973
1993,NY,Schuyler County,rural,Northeast,Middle Atlantic,Female,5863.0,0.0,1993
1999,OK,Cimarron County,rural,South,West South Central,Asian,3.0,,1999
2009,MO,Crawford County,rural,Midwest,West North Central,Latino,233.0,,2009
1987,VA,Waynesboro city,small/mid,South,South Atlantic,Latino,,,1987
2011,KS,Graham County,rural,Midwest,West North Central,Black,67.0,,2011
1997,IA,Sac County,rural,Midwest,West North Central,Total,6837.0,3.026114,1997
1981,NJ,Middlesex County,suburban,Northeast,Middle Atlantic,Native American,,,1981
2006,TN,Jackson County,rural,South,East South Central,Female,3743.0,6.0,2006
2000,AL,Houston County,small/mid,South,East South Central,White,42476.0,,2000
1997,GA,Echols County,small/mid,South,South Atlantic,White,1680.0,,1997
1975,SC,York County,suburban,South,South Atlantic,Asian,,,1975
2005,TX,Presidio County,rural,South,West South Central,Latino,3767.0,,2005
2016,NC,Davidson County,small/mid,South,South Atlantic,White,86519.0,,2016
2005,NY,Herkimer County,small/mid,Northeast,Middle Atlantic,Male,20755.0,40.0,2005
2003,CO,Gilpin County,suburban,West,Mountain,Asian,36.0,,2003
1992,KS,Jewell County,rural,Midwest,West North Central,Total,2251.0,2.636364,1992
2005,GA,Schley County,rural,South,South Atlantic,Asian,12.0,,2005
1992,AR,Izard County,rural,South,West South Central,Male,3437.0,3.0,1992
2000,NE,Loup County,rural,Midwest,West North Central,Other,,,2000
