set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,fig_num,name_num_parts_r,img_url_num_parts_r,_art_year
001-1,Gears,1965,1,43,https://cdn.rebrickable.com/media/sets/001-1.jpg,24732.0,1.0,24696,1,fig-010202,Iron Golem,https://cdn.rebrickable.com/media/sets/fig-010202.jpg,1965
0011-2,Town Mini-Figures,1979,67,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg,,,5087,1,fig-002105,Peepa,https://cdn.rebrickable.com/media/sets/fig-002105.jpg,1979
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg,,,2216,1,fig-004832,"Train Worker - Blue Jacket, Black Legs, Red Hat",https://cdn.rebrickable.com/media/sets/fig-004832.jpg,1987
0015-1,Space Mini-Figures,1979,143,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg,,,12208,1,fig-002453,Ace Speedman with Lights and Propeller,https://cdn.rebrickable.com/media/sets/fig-002453.jpg,1979
0016-1,Castle Mini Figures,1979,189,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg,,,13351,1,fig-002572,Kai ZX with Rocket Pack,https://cdn.rebrickable.com/media/sets/fig-002572.jpg,1979
002-1,4.5V Samsonite Gears Motor Set,1965,1,3,https://cdn.rebrickable.com/media/sets/002-1.jpg,,,24701,1,fig-000005,Captain America with Short Legs,https://cdn.rebrickable.com/media/sets/fig-000005.jpg,1965
002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4,https://cdn.rebrickable.com/media/sets/002253963-1.jpg,,,133027,1,fig-000001,Toy Store Employee,https://cdn.rebrickable.com/media/sets/fig-000001.jpg,2013
003-1,Master Mechanic Set,1966,366,403,https://cdn.rebrickable.com/media/sets/003-1.jpg,,,24702,1,,,,1966
005-1,Basic Building Set in Cardboard,1965,366,35,https://cdn.rebrickable.com/media/sets/005-1.jpg,,,2028,1,fig-003689,"Droideka / Destroyer Droid, Copper Shell",https://cdn.rebrickable.com/media/sets/fig-003689.jpg,1965
010-1,Basic Building Set in Cardboard,1965,366,57,https://cdn.rebrickable.com/media/sets/010-1.jpg,,,13468,1,,,,1965
010-3,Basic Building Set,1968,366,77,https://cdn.rebrickable.com/media/sets/010-3.jpg,,,5080,1,,,,1968
011-1,Basic Building Set,1968,366,145,https://cdn.rebrickable.com/media/sets/011-1.jpg,,,8404,1,,,,1968
021-1,Wheel Set,1966,366,183,https://cdn.rebrickable.com/media/sets/021-1.jpg,,,24734,1,,,,1966
022-1,Basic Building Set,1968,366,110,https://cdn.rebrickable.com/media/sets/022-1.jpg,,,6832,1,,,,1968
0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg,,,76615,1,,,,2015
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg,,,35863,1,,,,2019
028-1,Nursery Furniture,1979,652,7,https://cdn.rebrickable.com/media/sets/028-1.jpg,,,26354,1,fig-000013,Gorilla Grodd,https://cdn.rebrickable.com/media/sets/fig-000013.jpg,1979
030-2,Building Set,1973,505,29,https://cdn.rebrickable.com/media/sets/030-2.jpg,,,35888,1,fig-011971,Lakitu,https://cdn.rebrickable.com/media/sets/fig-011971.jpg,1973
032-1,Living Room,1979,652,14,https://cdn.rebrickable.com/media/sets/032-1.jpg,,,26365,1,fig-004266,Medical Droid,https://cdn.rebrickable.com/media/sets/fig-004266.jpg,1979
033-1,Farm Animals,1979,632,21,https://cdn.rebrickable.com/media/sets/033-1.jpg,,,25681,1,fig-002291,Spy Clops with Pearl Light Gray Legs,https://cdn.rebrickable.com/media/sets/fig-002291.jpg,1979
033-2,Basic Building Set,1968,366,177,https://cdn.rebrickable.com/media/sets/033-2.jpg,,,3372,1,,,,1968
041-1,Pre-School Beginners Set,1964,440,24,https://cdn.rebrickable.com/media/sets/041-1.jpg,,,24736,1,fig-004482,"Droideka / Destroyer Droid, Dark Brown Shell",https://cdn.rebrickable.com/media/sets/fig-004482.jpg,1964
041-2,Playhouse,1979,652,1,https://cdn.rebrickable.com/media/sets/041-2.jpg,,,26368,1,fig-001107,"Policeman, Light Up Flashlight [Complete Assembly]",https://cdn.rebrickable.com/media/sets/fig-001107.jpg,1979
042-1,Jumbo Brick Pull Toy,1966,440,9,https://cdn.rebrickable.com/media/sets/042-1.jpg,,,24737,1,fig-000072,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",https://cdn.rebrickable.com/media/sets/fig-000072.jpg,1966
044-1,Basic Building Set,1968,366,225,https://cdn.rebrickable.com/media/sets/044-1.jpg,,,6772,1,,,,1968
044-2,Jumbo Bricks,1969,440,30,https://cdn.rebrickable.com/media/sets/044-2.jpg,,,24738,1,fig-004101,"Droideka / Destroyer Droid, Reddish Brown Shell, Triangular Panels",https://cdn.rebrickable.com/media/sets/fig-004101.jpg,1969
045-1,Farm,1979,632,66,https://cdn.rebrickable.com/media/sets/045-1.jpg,,,26355,1,,,,1979
045-2,Assorted Clear Bricks & Plates,1969,371,37,https://cdn.rebrickable.com/media/sets/045-2.jpg,,,69190,1,fig-005600,Dr. Octopus / Doc Ock in Green Outfit with Back Arms with Claws,https://cdn.rebrickable.com/media/sets/fig-005600.jpg,1969
051-1,Assorted Basic Bricks - Red,1966,371,50,https://cdn.rebrickable.com/media/sets/051-1.jpg,,,24740,1,,,,1966
055-1,Trees & Bushes,1966,371,25,https://cdn.rebrickable.com/media/sets/055-1.jpg,,,24744,1,fig-005665,Scutter,https://cdn.rebrickable.com/media/sets/fig-005665.jpg,1966
055-2,Basic Building Set,1968,366,256,https://cdn.rebrickable.com/media/sets/055-2.jpg,,,2962,1,,,,1968
057-1,Large Wheels,1966,371,17,https://cdn.rebrickable.com/media/sets/057-1.jpg,,,24745,1,fig-003107,Cezar,https://cdn.rebrickable.com/media/sets/fig-003107.jpg,1966
058-1,Small Wheels,1966,371,26,https://cdn.rebrickable.com/media/sets/058-1.jpg,,,24748,1,fig-003378,Professor Brainstein with Mechanical Spider Legs,https://cdn.rebrickable.com/media/sets/fig-003378.jpg,1966
060-3,Jumbo Brick School Set,1968,440,60,https://cdn.rebrickable.com/media/sets/060-3.jpg,,,24750,1,,,,1968
061-1,Five Large Base Plates - Green,1966,371,5,https://cdn.rebrickable.com/media/sets/061-1.jpg,,,24751,1,fig-000006,Lloyd Avatar,https://cdn.rebrickable.com/media/sets/fig-000006.jpg,1966
065-1,Two Garage Door Kits,1969,371,6,https://cdn.rebrickable.com/media/sets/065-1.jpg,,,24754,1,fig-000016,Stealthor,https://cdn.rebrickable.com/media/sets/fig-000016.jpg,1969
066-1,Basic Building Set,1968,366,407,https://cdn.rebrickable.com/media/sets/066-1.jpg,,,2650,1,,,,1968
074-1,Pre-School Set,1976,505,20,https://cdn.rebrickable.com/media/sets/074-1.jpg,,,26992,1,fig-009089,Swoop,https://cdn.rebrickable.com/media/sets/fig-009089.jpg,1976
0756668530-1,Atlantis: Brickmaster,2010,497,157,https://cdn.rebrickable.com/media/sets/0756668530-1.jpg,,,6399,1,,,,2010
0756672805-1,Pirates: Brickmaster,2009,497,162,https://cdn.rebrickable.com/media/sets/0756672805-1.jpg,,,10414,1,,,,2009
0756682762-1,Ninjago: Brickmaster,2011,497,154,https://cdn.rebrickable.com/media/sets/0756682762-1.jpg,,,16042,1,,,,2011
080-1,Basic Building Set with Train,1967,366,712,https://cdn.rebrickable.com/media/sets/080-1.jpg,,,1973,1,,,,1967
