x1,title,subtitle,image,author,publication,year,month,day,reading_time,claps,url,author_url,tag_ai,tag_artificial_intelligence,tag_big_data,tag_data,tag_data_science,tag_data_visualization,tag_deep_learning,tag_machine_learning
2,Online Animation: Mixamo vs Norah AI,Online animations tools provide game designers and developers with a broad choice of animation,1,Emma Laurent,,2017,8,1,5,12.0,https://medium.com/@laurentemma/online-animation-mixamo-vs-norah-ai-4ea09b468e5f,https://medium.com/@laurentemma,1,0,0,0,0,0,0,0
5,A.I. ?,,0,Sanparith Marukatat,,2017,8,1,2,11.0,https://medium.com/@sanparithmarukatat/a-i-%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%80%E0%B8%AD%E0%B8%87-e85ebe71891a,https://medium.com/@sanparithmarukatat,1,0,0,0,0,0,0,0
11,"Futures of AI, Friendly AI?",From Physics of the Future: How Science Will Shape Human Destiny and Our,1,Z,,2017,8,1,3,1.0,https://medium.com/@otherside914/futures-of-ai-friendly-ai-a65a1f7c7a31,https://medium.com/@otherside914,1,0,0,0,0,0,0,0
12,The Value Generated through AI led Mindfulness,A true product co-created by the Millennials,1,Emiko Sawaguchi,MILLENNIALSTIMES,2017,8,1,5,4.0,https://millennials-times.com/creativeflower-eng-3ed56c6bc8b7,https://millennials-times.com/@emikosawaguchi,1,0,0,0,0,0,0,0
17,"Os Melhores Links de JulhoCmeras Vintage, Google Glass, Star Wars Hotel",mas pera a?,1,Giovani Ferreira,NEW ORDER,2017,8,1,3,56.0,https://medium.com/neworder/os-melhores-links-de-julho-cameras-vintage-google-glass-star-wars-hote-4574f25c9d3f,https://medium.com/@gferreira,1,0,0,0,0,0,0,0
18,The Future of AI: Redefining How We Imagine,Original article posted on FICO blogs,1,Syed Sadat Nazrul,Towards Data Science,2017,8,1,6,103.0,https://towardsdatascience.com/the-future-of-ai-redefining-how-we-imagine-596d5747da2e,https://towardsdatascience.com/@sadatnazrul,1,0,0,0,0,0,0,0
28,Digital HR For Healthcare,Health tech/ Healthcare facilities are existing in a survival mode for far too long. Most of the techniques and,1,Anna Naveed,,2017,8,1,5,2.0,https://medium.com/@annanaveed/digital-hr-for-healthcare-83100c0767f4,https://medium.com/@annanaveed,1,0,0,0,0,0,0,0
30,Addressing the AI Talent Gap,https://www.americaninno.com/boston/this-local-company-uses-data-science-to-rank-data-scientists/,0,The AI Academy,,2017,8,1,0,2.0,https://medium.com/@theaiacademy/addressing-the-ai-talent-gap-476c62b58238,https://medium.com/@theaiacademy,1,0,0,0,0,0,0,0
33,Wir lernen Computern das Sehen und das Assimilieren!?,,1,Angelika Omer,,2017,8,1,4,1.0,https://medium.com/@ano/wir-lernen-computern-das-sehen-und-das-assimilieren-aeed1f55ee88,https://medium.com/@ano,1,0,0,0,0,0,0,0
34,,199973,0,The project of the perfectly strict language,,2017,8,1,3,0.0,https://medium.com/@brad.evans/%E9%A1%8C%E5%90%8D-b2cea9e2aacf,https://medium.com/@brad.evans,1,0,0,0,0,0,0,0
