source,report,title,available_globally,release_date,hours_viewed,runtime,views,_art_year
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Adolescence: Limited Series,Yes,2025-03-13,555100000.0,3H 50M 0S,144800000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Squid Game: Season 2 // 오징어 게임: 시즌 2,Yes,2024-12-26,840300000.0,7H 10M 0S,117300000.0,2024.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Squid Game: Season 3 // 오징어 게임: 시즌 3,Yes,2025-06-27,438600000.0,6H 8M 0S,71500000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Zero Day: Limited Series,Yes,2025-02-20,315800000.0,5H 9M 0S,61300000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Missing You: Limited Series,Yes,2025-01-01,218600000.0,3H 46M 0S,58000000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,American Murder: Gabby Petito: Season 1,Yes,2025-02-17,120600000.0,2H 9M 0S,56100000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Ms. Rachel: Season 1,Yes,,162100000.0,3H 2M 0S,53400000.0,
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Sirens: Limited Series,Yes,2025-05-22,252300000.0,4H 44M 0S,53300000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Night Agent: Season 2,Yes,2025-01-23,457800000.0,8H 36M 0S,53200000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Ginny & Georgia: Season 3,Yes,2025-06-05,508200000.0,10H 34M 0S,48100000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,American Primeval: Limited Series,Yes,2025-01-09,234300000.0,5H 2M 0S,46500000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,348900000.0,8H 19M 0S,42000000.0,2021.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Running Point: Season 1,Yes,2025-02-27,209200000.0,5H 4M 0S,41300000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Four Seasons: Season 1,Yes,2025-05-01,169300000.0,4H 18M 0S,39400000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Cassandra: Limited Series,Yes,2025-02-06,193800000.0,4H 56M 0S,39300000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,American Manhunt: Osama bin Laden: Season 1,Yes,2025-05-14,112100000.0,3H 4M 0S,36600000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,You: Season 5,Yes,2025-04-24,308700000.0,8H 27M 0S,36500000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,"XO, Kitty: Season 2",Yes,2025-01-16,143400000.0,4H 4M 0S,35300000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,When Life Gives You Tangerines: Limited Series // 폭싹 속았수다: 리미티드 시리즈,Yes,2025-03-07,577000000.0,16H 35M 0S,34800000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Trauma Code: Heroes on Call: Season 1 // 중증외상센터: 시즌 1,Yes,2025-01-24,236600000.0,6H 56M 0S,34100000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Secrets We Keep: Limited Series // Reservatet: Miniserie,Yes,2025-05-15,126200000.0,3H 44M 0S,33800000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Gardener: Limited Series // El jardinero: Miniserie,Yes,2025-04-11,156500000.0,4H 40M 0S,33500000.0,2025.0
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Residence: Season 1,Yes,2025-03-20,257600000.0,7H 44M 0S,33300000.0,2025.0
