camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
50007933,CARIDAD RESTAURANT,BRONX,10472.0,Spanish,02/12/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,29.0,C,Cycle Inspection / Re-inspection,2016
41705634,EXPRESS BROOK LUNCH RESTAURANT,BRONX,10454.0,Spanish,12/21/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,63.0,C,Cycle Inspection / Re-inspection,2015
50059980,OSCAR WILDE'S,MANHATTAN,10001.0,American,09/07/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,35.0,,Pre-permit (Operational) / Initial Inspection,2017
50080121,THE FOREST PARK CAROUSEL,QUEENS,,Hotdogs,08/06/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,Pre-permit (Operational) / Initial Inspection,2018
50046255,PEKING KITCHEN,BROOKLYN,11206.0,Chinese,12/27/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19.0,,Cycle Inspection / Initial Inspection,2016
40370939,MANDUCATIS,QUEENS,11101.0,Italian,10/22/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,Cycle Inspection / Initial Inspection,2015
40591492,LOVELL'S GUIDING LIGHT,QUEENS,11435.0,American,03/01/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
50034858,WOOPS! BAKESHOP,MANHATTAN,10065.0,Bakery,07/05/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,Cycle Inspection / Re-inspection,2017
40682813,THE RED CAT,MANHATTAN,10011.0,American,07/27/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9.0,A,Cycle Inspection / Initial Inspection,2018
41717628,HAILE BRISTRO,MANHATTAN,10009.0,Ethiopian,10/07/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,24.0,,Cycle Inspection / Initial Inspection,2016
41077301,COZY CAFE,MANHATTAN,10003.0,Middle Eastern,07/12/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15.0,,Cycle Inspection / Initial Inspection,2017
41600457,TABATA NOODLE RESTAURANT,MANHATTAN,10018.0,Japanese,01/18/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,28.0,C,Cycle Inspection / Re-inspection,2018
40728711,BURGER KING,QUEENS,11416.0,Hamburgers,10/05/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,Cycle Inspection / Initial Inspection,2018
