gutenberg_id,subject_type,subject
53775,lcc,BS
46477,lcsh,Ranches -- Juvenile fiction
58002,lcsh,Geology -- Juvenile fiction
12161,lcsh,Humorous stories
72577,lcsh,Nature stories
45499,lcsh,Tragedies (Drama)
19584,lcsh,"History, Ancient"
67916,lcsh,Revenge -- Fiction
5178,lcsh,Comedy plays
61228,lcc,PS
64231,lcc,PS
35146,lcsh,Detective and mystery stories
37782,lcsh,Bhutan -- Description and travel
33653,lcsh,Pocket gophers
58714,lcsh,Fairy tales
5793,lcc,PR
12346,lcc,PS
23445,lcsh,"Short stories, American"
1290,lcsh,Historical fiction
7152,lcsh,Love stories
4422,lcsh,English fiction -- 19th century
25600,lcc,QL
22266,lcc,DC
12378,lcc,AP
1127,lcsh,Jealousy -- Drama
720,lcc,PR
26080,lcc,PS
29380,lcsh,Family -- Juvenile fiction
13464,lcc,PR
18808,lcsh,Arabian Peninsula -- Description and travel
57060,lcsh,Criminals -- England -- London
3941,lcsh,France -- Fiction
33301,lcc,PS
51536,lcc,PS
41988,lcsh,Jesus Christ -- Crucifixion -- Fiction
32724,lcc,PS
62471,lcsh,Swedish drama
65308,lcsh,Minks -- Juvenile fiction
2398,lcsh,Renaissance
63900,lcsh,Extrasolar planets -- Fiction
8479,lcsh,"Twain, Mark, 1835-1910 -- Travel -- Mississippi River"
4180,lcsh,"Pepys, Samuel, 1633-1703 -- Diaries"
56286,lcsh,"Dialogues, Latin (Medieval and modern) -- Translations into English"
49121,lcsh,"Beijing (China) -- History -- Siege, 1900"
5574,lcsh,German fiction -- Translations into English
9384,lcsh,"World War, 1914-1918 -- Fiction"
22756,lcsh,Fairy tales
68796,lcsh,English fiction -- 20th century
31137,lcsh,French fiction
28959,lcsh,Normandy (France) -- Description and travel
54041,lcc,DS
69511,lcsh,Thieves -- Juvenile fiction
34058,lcsh,Fiction
62196,lcc,PQ
67328,lcc,CT
5555,lcsh,Nuremberg (Germany) -- Fiction
14275,lcsh,Paranormal fiction
11558,lcsh,American poetry
17017,lcsh,"Page, Walter Hines, 1855-1918"
48134,lcsh,Electric power distribution
16546,lcsh,Asia -- Religion
46351,lcsh,Italian drama -- 19th century
10558,lcsh,England -- Fiction
51247,lcsh,Death -- Fiction
64931,lcc,HQ
59251,lcsh,"Names, Indian -- California"
64325,lcc,QE
1541,lcc,PR
61271,lcc,PS
65190,lcc,Z
7128,lcsh,Fairy tales -- India
5749,lcsh,Danish drama -- Translations into English
39579,lcc,E011
55168,lcc,QE
11081,lcc,PM
3766,lcsh,New England -- Politics and government -- Fiction
71308,lcc,PG
47044,lcsh,"Bunker Hill, Battle of, Boston, Mass., 1775"
38813,lcsh,Free thought
64094,lcsh,American fiction -- 19th century
46078,lcc,BF
72185,lcc,D501
72188,lcc,QE
2179,lcc,PS
5449,lcsh,Egypt -- History -- To 332 B.C. -- Fiction
50661,lcsh,"World War, 1939-1945 -- Juvenile fiction"
32236,lcsh,Northwestern States -- History
62114,lcc,PQ
19013,lcsh,Science -- Study and teaching
10869,lcc,PS
73166,lcsh,Folklore -- Hawaii
20049,lcsh,"Children's stories, English"
13261,lcsh,Paris (France) -- Fiction
30315,lcc,ND
69070,lcsh,Mate selection -- Fiction
41028,lcsh,New York (N.Y.) -- Intellectual life
60086,lcsh,Children -- Conduct of life -- Juvenile fiction
208,lcsh,Young women -- Fiction
13705,lcsh,"Short stories, Dutch"
16497,lcsh,Fiction
70177,lcsh,Hinduism and social problems -- Fiction
55859,lcc,F1601
29417,lcsh,"Alves Martins, António, 1808-1882"
20097,lcsh,Insects -- Juvenile fiction
56567,lcsh,"Proverbs, Swedish"
58527,lcsh,"Children's poetry, American"
7843,lcsh,Fiction
16100,lcc,PS
57906,lcsh,Hunting -- England -- Cornwall (County)
48167,lcsh,Aunts -- Juvenile fiction
50670,lcsh,"Château de Vaux-le-Vicomte (Maincy, France)"
40046,lcsh,Soldiers -- Illinois -- Biography
51078,lcsh,Toxins
16043,lcsh,"Mythology, Japanese"
1155,lcc,PR
60072,lcc,PR
71997,lcsh,Seafaring life -- Juvenile fiction
45090,lcc,AP
73725,lcsh,"Short stories, Finnish"
26291,lcsh,Science fiction
50930,lcc,PQ
66680,lcc,QK
36889,lcsh,Catholic Church -- Ireland -- Periodicals
52651,lcsh,Trees -- Identification
1619,lcsh,Spanish fiction
61844,lcsh,Science fiction
70065,lcsh,Outlaws -- Fiction
16580,lcsh,"History, Modern -- 19th century -- Juvenile literature -- Periodicals"
18224,lcsh,Science fiction
56455,lcsh,Divorce -- Fiction
241,lcsh,African American families -- Fiction
44783,lcsh,"United States -- History -- Civil War, 1861-1865 -- Regimental histories"
50868,lcsh,Science fiction
67838,lcsh,Torpedoes
28279,lcsh,Sex instruction for children
18455,lcsh,Statesmen -- United States -- Biography
50963,lcsh,Dwellings -- Japan
25356,lcc,PZ
46584,lcsh,English wit and humor -- Periodicals
60659,lcc,QL
50343,lcsh,English periodicals -- 19th century -- History
14397,lcc,PQ
1868,lcsh,Europe -- Description and travel -- Juvenile fiction
55847,lcsh,Crime -- England -- London
16851,lcsh,French fiction -- 19th century
71355,lcc,G
30215,lcc,NK
53547,lcsh,Congregational churches -- Missions -- Periodicals
43417,lcc,QL
1999,lcsh,England -- Fiction
66420,lcc,AP
65081,lcsh,Enslaved persons -- Georgia -- Biography
20188,lcsh,Tragedies (Drama)
28966,lcc,PZ
34922,lcsh,Humorous stories
64071,lcc,PS
2720,lcsh,Geneva (Switzerland) -- Fiction
74768,lcsh,Feminist fiction
51458,lcc,PQ
51548,lcsh,"Philosophy, Ancient"
62809,lcc,PE
36130,lcsh,Right of property -- Juvenile fiction
52009,lcc,PS
27523,lcc,PN
13984,lcsh,Short stories
34997,lcc,E011
44563,lcsh,"Thackeray, William Makepeace, 1811-1863 -- Books and reading"
