book,text,line_num
A Study In Scarlet,A STUDY IN SCARLET,1
A Study In Scarlet,,2
A Study In Scarlet,Table of contents,3
A Study In Scarlet,,4
A Study In Scarlet,Part I,5
A Study In Scarlet,Mr. Sherlock Holmes,6
A Study In Scarlet,The Science Of Deduction,7
A Study In Scarlet,The Lauriston Garden Mystery,8
A Study In Scarlet,What John Rance Had To Tell,9
A Study In Scarlet,Our Advertisement Brings A Visitor,10
A Study In Scarlet,Tobias Gregson Shows What He Can Do,11
A Study In Scarlet,Light In The Darkness,12
A Study In Scarlet,,13
A Study In Scarlet,Part II,14
A Study In Scarlet,On The Great Alkali Plain,15
A Study In Scarlet,The Flower Of Utah,16
A Study In Scarlet,John Ferrier Talks With The Prophet,17
A Study In Scarlet,A Flight For Life,18
A Study In Scarlet,The Avenging Angels,19
A Study In Scarlet,"A Continuation Of The Reminiscences Of John Watson, M.D.",20
A Study In Scarlet,The Conclusion,21
A Study In Scarlet,,22
A Study In Scarlet,PART I,23
A Study In Scarlet,,24
A Study In Scarlet,(Being a reprint from the reminiscences of,25
A Study In Scarlet,"John H. Watson, M.D.,",26
A Study In Scarlet,late of the Army Medical Department.),27
A Study In Scarlet,,28
A Study In Scarlet,CHAPTER I,29
A Study In Scarlet,Mr. Sherlock Holmes,30
A Study In Scarlet,,31
A Study In Scarlet,In the year 1878 I took my degree of Doctor of Medicine of the,32
A Study In Scarlet,"University of London, and proceeded to Netley to go through the",33
A Study In Scarlet,course prescribed for surgeons in the army. Having completed my,34
A Study In Scarlet,"studies there, I was duly attached to the Fifth Northumberland",35
A Study In Scarlet,Fusiliers as Assistant Surgeon. The regiment was stationed in India,36
A Study In Scarlet,"at the time, and before I could join it, the second Afghan war had",37
A Study In Scarlet,"broken out. On landing at Bombay, I learned that my corps had",38
A Study In Scarlet,"advanced through the passes, and was already deep in the enemy's",39
A Study In Scarlet,"country. I followed, however, with many other officers who were in",40
A Study In Scarlet,"the same situation as myself, and succeeded in reaching Candahar in",41
A Study In Scarlet,"safety, where I found my regiment, and at once entered upon my new",42
A Study In Scarlet,duties.,43
A Study In Scarlet,,44
A Study In Scarlet,"The campaign brought honours and promotion to many, but for me it had",45
A Study In Scarlet,nothing but misfortune and disaster. I was removed from my brigade,46
A Study In Scarlet,"and attached to the Berkshires, with whom I served at the fatal",47
A Study In Scarlet,battle of Maiwand. There I was struck on the shoulder by a Jezail,48
A Study In Scarlet,"bullet, which shattered the bone and grazed the subclavian artery. I",49
A Study In Scarlet,should have fallen into the hands of the murderous Ghazis had it not,50
A Study In Scarlet,"been for the devotion and courage shown by Murray, my orderly, who",51
A Study In Scarlet,"threw me across a pack-horse, and succeeded in bringing me safely to",52
A Study In Scarlet,the British lines.,53
A Study In Scarlet,,54
A Study In Scarlet,"Worn with pain, and weak from the prolonged hardships which I had",55
A Study In Scarlet,"undergone, I was removed, with a great train of wounded sufferers, to",56
A Study In Scarlet,"the base hospital at Peshawar. Here I rallied, and had already",57
A Study In Scarlet,"improved so far as to be able to walk about the wards, and even to",58
A Study In Scarlet,"bask a little upon the verandah, when I was struck down by enteric",59
A Study In Scarlet,"fever, that curse of our Indian possessions. For months my life was",60
A Study In Scarlet,"despaired of, and when at last I came to myself and became",61
A Study In Scarlet,"convalescent, I was so weak and emaciated that a medical board",62
A Study In Scarlet,determined that not a day should be lost in sending me back to,63
A Study In Scarlet,"England. I was dispatched, accordingly, in the troopship Orontes, and",64
A Study In Scarlet,"landed a month later on Portsmouth jetty, with my health",65
A Study In Scarlet,"irretrievably ruined, but with permission from a paternal government",66
A Study In Scarlet,to spend the next nine months in attempting to improve it.,67
A Study In Scarlet,,68
A Study In Scarlet,"I had neither kith nor kin in England, and was therefore as free as",69
A Study In Scarlet,air--or as free as an income of eleven shillings and sixpence a day,70
A Study In Scarlet,"will permit a man to be. Under such circumstances, I naturally",71
A Study In Scarlet,"gravitated to London, that great cesspool into which all the loungers",72
A Study In Scarlet,and idlers of the Empire are irresistibly drained. There I stayed for,73
A Study In Scarlet,"some time at a private hotel in the Strand, leading a comfortless,",74
A Study In Scarlet,"meaningless existence, and spending such money as I had, considerably",75
A Study In Scarlet,more freely than I ought. So alarming did the state of my finances,76
A Study In Scarlet,"become, that I soon realized that I must either leave the metropolis",77
A Study In Scarlet,"and rusticate somewhere in the country, or that I must make a",78
A Study In Scarlet,complete alteration in my style of living. Choosing the latter,79
A Study In Scarlet,"alternative, I began by making up my mind to leave the hotel, and to",80
A Study In Scarlet,take up my quarters in some less pretentious and less expensive,81
A Study In Scarlet,domicile.,82
A Study In Scarlet,,83
A Study In Scarlet,"On the very day that I had come to this conclusion, I was standing at",84
A Study In Scarlet,"the Criterion Bar, when some one tapped me on the shoulder, and",85
A Study In Scarlet,"turning round I recognized young Stamford, who had been a dresser",86
A Study In Scarlet,under me at Bart's. The sight of a friendly face in the great,87
A Study In Scarlet,wilderness of London is a pleasant thing indeed to a lonely man. In,88
A Study In Scarlet,"old days Stamford had never been a particular crony of mine, but now",89
A Study In Scarlet,"I hailed him with enthusiasm, and he, in his turn, appeared to be",90
A Study In Scarlet,"delighted to see me. In the exuberance of my joy, I asked him to",91
A Study In Scarlet,"lunch with me at the Holborn, and we started off together in a",92
A Study In Scarlet,hansom.,93
A Study In Scarlet,,94
A Study In Scarlet,"""Whatever have you been doing with yourself, Watson?"" he asked in",95
A Study In Scarlet,"undisguised wonder, as we rattled through the crowded London streets.",96
A Study In Scarlet,"""You are as thin as a lath and as brown as a nut.""",97
A Study In Scarlet,,98
A Study In Scarlet,"I gave him a short sketch of my adventures, and had hardly concluded",99
A Study In Scarlet,it by the time that we reached our destination.,100
A Study In Scarlet,,101
A Study In Scarlet,"""Poor devil!"" he said, commiseratingly, after he had listened to my",102
A Study In Scarlet,"misfortunes. ""What are you up to now?""",103
A Study In Scarlet,,104
A Study In Scarlet,"""Looking for lodgings,"" I answered. ""Trying to solve the problem as",105
A Study In Scarlet,to whether it is possible to get comfortable rooms at a reasonable,106
A Study In Scarlet,"price.""",107
A Study In Scarlet,,108
A Study In Scarlet,"""That's a strange thing,"" remarked my companion; ""you are the second",109
A Study In Scarlet,"man to-day that has used that expression to me.""",110
A Study In Scarlet,,111
A Study In Scarlet,"""And who was the first?"" I asked.",112
A Study In Scarlet,,113
A Study In Scarlet,"""A fellow who is working at the chemical laboratory up at the",114
A Study In Scarlet,hospital. He was bemoaning himself this morning because he could not,115
A Study In Scarlet,get someone to go halves with him in some nice rooms which he had,116
A Study In Scarlet,"found, and which were too much for his purse.""",117
A Study In Scarlet,,118
A Study In Scarlet,"""By Jove!"" I cried, ""if he really wants someone to share the rooms",119
A Study In Scarlet,"and the expense, I am the very man for him. I should prefer having a",120
A Study In Scarlet,"partner to being alone.""",121
A Study In Scarlet,,122
A Study In Scarlet,Young Stamford looked rather strangely at me over his wine-glass.,123
A Study In Scarlet,"""You don't know Sherlock Holmes yet,"" he said; ""perhaps you would not",124
A Study In Scarlet,"care for him as a constant companion.""",125
A Study In Scarlet,,126
A Study In Scarlet,"""Why, what is there against him?""",127
A Study In Scarlet,,128
A Study In Scarlet,"""Oh, I didn't say there was anything against him. He is a little",129
A Study In Scarlet,queer in his ideas--an enthusiast in some branches of science. As far,130
A Study In Scarlet,"as I know he is a decent fellow enough.""",131
A Study In Scarlet,,132
A Study In Scarlet,"""A medical student, I suppose?"" said I.",133
A Study In Scarlet,,134
A Study In Scarlet,"""No--I have no idea what he intends to go in for. I believe he is",135
A Study In Scarlet,"well up in anatomy, and he is a first-class chemist; but, as far as I",136
A Study In Scarlet,"know, he has never taken out any systematic medical classes. His",137
A Study In Scarlet,"studies are very desultory and eccentric, but he has amassed a lot of",138
A Study In Scarlet,"out-of-the way knowledge which would astonish his professors.""",139
A Study In Scarlet,,140
A Study In Scarlet,"""Did you never ask him what he was going in for?"" I asked.",141
A Study In Scarlet,,142
A Study In Scarlet,"""No; he is not a man that it is easy to draw out, though he can be",143
A Study In Scarlet,"communicative enough when the fancy seizes him.""",144
A Study In Scarlet,,145
A Study In Scarlet,"""I should like to meet him,"" I said. ""If I am to lodge with anyone, I",146
A Study In Scarlet,should prefer a man of studious and quiet habits. I am not strong,147
A Study In Scarlet,enough yet to stand much noise or excitement. I had enough of both in,148
A Study In Scarlet,Afghanistan to last me for the remainder of my natural existence. How,149
A Study In Scarlet,"could I meet this friend of yours?""",150
A Study In Scarlet,,151
A Study In Scarlet,"""He is sure to be at the laboratory,"" returned my companion. ""He",152
A Study In Scarlet,"either avoids the place for weeks, or else he works there from",153
A Study In Scarlet,"morning to night. If you like, we shall drive round together after",154
A Study In Scarlet,"luncheon.""",155
A Study In Scarlet,,156
A Study In Scarlet,"""Certainly,"" I answered, and the conversation drifted away into other",157
A Study In Scarlet,channels.,158
A Study In Scarlet,,159
A Study In Scarlet,"As we made our way to the hospital after leaving the Holborn,",160
A Study In Scarlet,Stamford gave me a few more particulars about the gentleman whom I,161
A Study In Scarlet,proposed to take as a fellow-lodger.,162
A Study In Scarlet,,163
A Study In Scarlet,"""You mustn't blame me if you don't get on with him,"" he said; ""I know",164
A Study In Scarlet,nothing more of him than I have learned from meeting him occasionally,165
A Study In Scarlet,"in the laboratory. You proposed this arrangement, so you must not",166
A Study In Scarlet,"hold me responsible.""",167
A Study In Scarlet,,168
A Study In Scarlet,"""If we don't get on it will be easy to part company,"" I answered. ""It",169
A Study In Scarlet,"seems to me, Stamford,"" I added, looking hard at my companion, ""that",170
A Study In Scarlet,you have some reason for washing your hands of the matter. Is this,171
A Study In Scarlet,"fellow's temper so formidable, or what is it? Don't be mealy-mouthed",172
A Study In Scarlet,"about it.""",173
A Study In Scarlet,,174
A Study In Scarlet,"""It is not easy to express the inexpressible,"" he answered with a",175
A Study In Scarlet,"laugh. ""Holmes is a little too scientific for my tastes--it",176
A Study In Scarlet,approaches to cold-bloodedness. I could imagine his giving a friend a,177
A Study In Scarlet,"little pinch of the latest vegetable alkaloid, not out of",178
A Study In Scarlet,"malevolence, you understand, but simply out of a spirit of inquiry in",179
A Study In Scarlet,"order to have an accurate idea of the effects. To do him justice, I",180
A Study In Scarlet,think that he would take it himself with the same readiness. He,181
A Study In Scarlet,"appears to have a passion for definite and exact knowledge.""",182
A Study In Scarlet,,183
A Study In Scarlet,"""Very right too.""",184
A Study In Scarlet,,185
A Study In Scarlet,"""Yes, but it may be pushed to excess. When it comes to beating the",186
A Study In Scarlet,"subjects in the dissecting-rooms with a stick, it is certainly taking",187
A Study In Scarlet,"rather a bizarre shape.""",188
A Study In Scarlet,,189
A Study In Scarlet,"""Beating the subjects!""",190
A Study In Scarlet,,191
A Study In Scarlet,"""Yes, to verify how far bruises may be produced after death. I saw",192
A Study In Scarlet,"him at it with my own eyes.""",193
A Study In Scarlet,,194
A Study In Scarlet,"""And yet you say he is not a medical student?""",195
A Study In Scarlet,,196
A Study In Scarlet,"""No. Heaven knows what the objects of his studies are. But here we",197
A Study In Scarlet,"are, and you must form your own impressions about him."" As he spoke,",198
A Study In Scarlet,"we turned down a narrow lane and passed through a small side-door,",199
A Study In Scarlet,which opened into a wing of the great hospital. It was familiar,200
A Study In Scarlet,"ground to me, and I needed no guiding as we ascended the bleak stone",201
A Study In Scarlet,staircase and made our way down the long corridor with its vista of,202
A Study In Scarlet,whitewashed wall and dun-coloured doors. Near the further end a low,203
A Study In Scarlet,arched passage branched away from it and led to the chemical,204
A Study In Scarlet,laboratory.,205
A Study In Scarlet,,206
A Study In Scarlet,"This was a lofty chamber, lined and littered with countless bottles.",207
A Study In Scarlet,"Broad, low tables were scattered about, which bristled with retorts,",208
A Study In Scarlet,"test-tubes, and little Bunsen lamps, with their blue flickering",209
A Study In Scarlet,"flames. There was only one student in the room, who was bending over",210
A Study In Scarlet,a distant table absorbed in his work. At the sound of our steps he,211
A Study In Scarlet,"glanced round and sprang to his feet with a cry of pleasure. ""I've",212
A Study In Scarlet,"found it! I've found it,"" he shouted to my companion, running towards",213
A Study In Scarlet,"us with a test-tube in his hand. ""I have found a re-agent which is",214
A Study In Scarlet,"precipitated by hoemoglobin, and by nothing else."" Had he discovered",215
A Study In Scarlet,"a gold mine, greater delight could not have shone upon his features.",216
A Study In Scarlet,,217
A Study In Scarlet,"""Dr. Watson, Mr. Sherlock Holmes,"" said Stamford, introducing us.",218
A Study In Scarlet,,219
A Study In Scarlet,"""How are you?"" he said cordially, gripping my hand with a strength",220
A Study In Scarlet,"for which I should hardly have given him credit. ""You have been in",221
A Study In Scarlet,"Afghanistan, I perceive.""",222
A Study In Scarlet,,223
A Study In Scarlet,"""How on earth did you know that?"" I asked in astonishment.",224
A Study In Scarlet,,225
A Study In Scarlet,"""Never mind,"" said he, chuckling to himself. ""The question now is",226
A Study In Scarlet,about hoemoglobin. No doubt you see the significance of this,227
A Study In Scarlet,"discovery of mine?""",228
A Study In Scarlet,,229
A Study In Scarlet,"""It is interesting, chemically, no doubt,"" I answered, ""but",230
A Study In Scarlet,"practically--""",231
A Study In Scarlet,,232
