gamename,year,month,avg,gain,peak,avg_peak_perc,_art_year
Counter-Strike: Global Offensive,2021,February,741013.24,-2196.42,1123485,65.9567%,2021
Dota 2,2021,February,404832.13,-27839.52,651615,62.1275%,2021
PLAYERUNKNOWN'S BATTLEGROUNDS,2021,February,198957.52,-2289.67,447390,44.4707%,2021
Apex Legends,2021,February,120982.64,49215.9,196799,61.4752%,2021
Rust,2021,February,117742.27,-24374.98,224276,52.4988%,2021
Team Fortress 2,2021,February,101230.91,18082.74,133620,75.7603%,2021
Grand Theft Auto V,2021,February,90647.64,-10602.95,146438,61.9017%,2021
Tom Clancy's Rainbow Six Siege,2021,February,72382.76,-5334.66,113338,63.8645%,2021
Rocket League,2021,February,53723.01,-5726.15,103429,51.9419%,2021
Path of Exile,2021,February,46919.9,-765.71,90539,51.8229%,2021
Football Manager 2021,2021,February,53572.39,-2410.35,91247,58.7114%,2021
ARK: Survival Evolved,2021,February,61785.58,-1374.48,98637,62.6394%,2021
Destiny 2,2021,February,59394.05,14529.12,131640,45.1185%,2021
Sid Meier's Civilization VI,2021,February,41715.13,4983.63,68161,61.2009%,2021
PAYDAY 2,2021,February,26164.82,-3036.36,44327,59.0268%,2021
Wallpaper Engine,2021,February,41441.43,-3206.42,60437,68.5696%,2021
Warframe,2021,February,39209.96,3085.81,61032,64.2449%,2021
Euro Truck Simulator 2,2021,February,23637.94,-452.1,51888,45.5557%,2021
Stardew Valley,2021,February,38304.69,-18861.87,59709,64.1523%,2021
Garry's Mod,2021,February,27741.26,-313.17,45995,60.3136%,2021
Dead by Daylight,2021,February,35348.46,-994.04,52322,67.5595%,2021
Dyson Sphere Program,2021,February,31810.51,6285.57,59243,53.695%,2021
War Thunder,2021,February,28602.47,1124.78,43065,66.417%,2021
Cyberpunk 2077,2021,February,24704.84,-57441.83,47115,52.4352%,2021
Total War: WARHAMMER II,2021,February,28417.62,3795.22,48027,59.1701%,2021
DayZ,2021,February,22224.47,-4111.56,38533,57.6765%,2021
Farming Simulator 19,2021,February,17830.03,-1168.31,36777,48.4815%,2021
Hearts of Iron IV,2021,February,24476.67,-344.0,38222,64.0382%,2021
World of Tanks Blitz,2021,February,18714.36,-777.18,36904,50.7109%,2021
The Elder Scrolls Online,2021,February,19912.28,762.06,31886,62.4483%,2021
Age of Empires II: Definitive Edition,2021,February,18238.99,-1270.71,35154,51.8831%,2021
Brawlhalla,2021,February,16945.96,913.3,34169,49.5945%,2021
Unturned,2021,February,23555.92,1513.64,50209,46.9157%,2021
Spacewar,2021,February,19606.76,2930.22,36053,54.3832%,2021
7 Days to Die,2021,February,20527.75,-4838.93,31843,64.4655%,2021
Football Manager 2020,2021,February,15914.25,-2217.86,26960,59.0291%,2021
SMITE,2021,February,15981.31,1197.26,27349,58.4347%,2021
Sid Meier's Civilization V,2021,February,18621.03,-1034.23,29459,63.21%,2021
FINAL FANTASY XIV Online,2021,February,18882.69,1965.47,31117,60.6829%,2021
RimWorld,2021,February,18423.33,-238.01,26260,70.1574%,2021
Sea of Thieves,2021,February,15068.31,-6486.87,27909,53.9909%,2021
Europa Universalis IV,2021,February,15889.28,-595.06,25824,61.5291%,2021
Counter-Strike,2021,February,12091.33,-1002.98,21626,55.9111%,2021
Arma 3,2021,February,14936.52,40.99,31637,47.2122%,2021
EA SPORTS FIFA 21 ,2021,February,17393.51,-461.97,32819,52.9983%,2021
Black Desert Online,2021,February,15495.5,-1871.66,31685,48.9048%,2021
NBA 2K20,2021,February,8506.83,-1172.79,16336,52.0741%,2021
NBA 2K21,2021,February,13009.57,2567.95,22954,56.6767%,2021
tModLoader,2021,February,13725.88,1869.59,18770,73.1267%,2021
Bloons TD 6,2021,February,15613.83,-4252.97,30405,51.3528%,2021
Factorio,2021,February,13176.7,1323.72,22392,58.8456%,2021
Dead Cells,2021,February,6181.57,3291.26,13651,45.2829%,2021
DARK SOULS III,2021,February,10985.95,-2365.4,16560,66.3403%,2021
Fallout 4,2021,February,13773.15,-1310.79,21274,64.7417%,2021
VRChat,2021,February,14662.89,-247.23,24673,59.4289%,2021
eFootball PES 2021 SEASON UPDATE,2021,February,10321.87,-341.05,17936,57.5483%,2021
Gunfire Reborn,2021,February,5836.94,1985.51,13733,42.503%,2021
Stellaris,2021,February,16017.4,2372.91,26283,60.9421%,2021
World of Warships,2021,February,11574.22,3519.22,353413,3.275%,2021
Skul: The Hero Slayer,2021,February,4875.68,836.97,14281,34.141%,2021
Paladins,2021,February,10083.53,57.97,18501,54.5026%,2021
Albion Online,2021,February,8025.07,745.03,12360,64.9278%,2021
Fall Guys: Ultimate Knockout,2021,February,9036.95,-1908.26,16645,54.2923%,2021
Yu-Gi-Oh! Duel Links,2021,February,8718.71,-827.6,12586,69.2731%,2021
Soundpad,2021,February,9832.29,415.4,14403,68.2656%,2021
Phasmophobia,2021,February,13464.19,-6640.37,29465,45.6955%,2021
Mount & Blade II: Bannerlord,2021,February,12331.63,-1045.74,19507,63.2164%,2021
Assassin's Creed Odyssey,2021,February,6594.45,-1082.91,12157,54.2441%,2021
Red Dead Online,2021,February,8092.81,-1406.58,13219,61.221%,2021
Total War: THREE KINGDOMS,2021,February,7596.16,-450.87,14490,52.4235%,2021
The Forest,2021,February,11746.37,-1812.9,31612,37.1579%,2021
Crusader Kings III,2021,February,10220.27,-2431.69,16415,62.2618%,2021
Hades,2021,February,10849.07,-7926.41,16939,64.0479%,2021
Deep Rock Galactic,2021,February,9126.46,1921.06,35827,25.4737%,2021
Green Hell,2021,February,3843.81,811.21,10479,36.6811%,2021
<U+4FE0><U+4E4B><U+9053>(PathOfWuxia),2021,February,2566.3,2391.85,12232,20.9802%,2021
The Binding of Isaac: Rebirth,2021,February,7650.79,-105.35,10422,73.41%,2021
Raft,2021,February,8089.17,-4909.04,18015,44.9024%,2021
Oxygen Not Included,2021,February,7583.49,-1679.38,12492,60.7068%,2021
Conqueror's Blade,2021,February,3816.37,-132.3,10592,36.0307%,2021
Conan Exiles,2021,February,9053.84,-631.12,14827,61.0632%,2021
Human: Fall Flat,2021,February,5589.99,1124.02,15688,35.6323%,2021
Hunt: Showdown,2021,February,7984.55,500.25,15859,50.3471%,2021
The Sims 4,2021,February,9032.28,-2600.25,15331,58.9151%,2021
Satisfactory,2021,February,7822.93,-2483.2,13747,56.9065%,2021
Home Behind 2,2021,February,3133.52,-5782.98,10825,28.9471%,2021
Dying Light,2021,February,7670.44,1309.51,30600,25.0668%,2021
NGU IDLE,2021,February,6561.37,-34.0,7826,83.8407%,2021
Geometry Dash,2021,February,6202.53,-62.11,9554,64.9208%,2021
SCUM,2021,February,6961.3,1267.86,11513,60.4647%,2021
Aim Lab,2021,February,5930.13,236.48,7589,78.1411%,2021
STAR WARS: The Old Republic,2021,February,6727.9,-1078.65,12236,54.9845%,2021
Company of Heroes 2,2021,February,5584.17,-514.13,9477,58.9234%,2021
Russian Fishing 4,2021,February,4087.76,-215.82,7459,54.8031%,2021
<U+96C0><U+9B42><U+9EBB><U+5C06>(MahjongSoul),2021,February,4674.79,1546.12,13637,34.2802%,2021
Fallout 76,2021,February,6233.95,-1142.71,9257,67.3431%,2021
Phantasy Star Online 2,2021,February,5197.19,-59.1,10502,49.4876%,2021
Mount & Blade: Warband,2021,February,5016.12,-40.88,7863,63.794%,2021
SCP: Secret Laboratory,2021,February,4974.93,541.59,7438,66.8853%,2021
RuneScape,2021,February,6609.23,611.01,11196,59.0321%,2021
Total War: ROME II - Emperor Edition,2021,February,5696.08,-466.89,9910,57.4781%,2021
Squad,2021,February,6228.81,228.95,11185,55.689%,2021
Hollow Knight,2021,February,4686.84,-1604.21,6538,71.6861%,2021
Grim Dawn,2021,February,4642.27,-886.32,7593,61.1388%,2021
BeamNG.drive,2021,February,5275.54,-94.91,8669,60.8552%,2021
Killing Floor 2,2021,February,3315.78,-61.72,6175,53.6968%,2021
Shop Titans,2021,February,4522.46,-177.35,6320,71.5579%,2021
Black Desert,2021,February,4286.16,-429.41,8810,48.6511%,2021
Warhammer: Vermintide 2,2021,February,3862.8,-1242.36,6964,55.4681%,2021
Prison Architect,2021,February,2721.01,511.4,8733,31.1578%,2021
Planet Zoo,2021,February,3954.26,-849.36,7968,49.6268%,2021
Borderlands 3,2021,February,8338.27,661.52,15911,52.4057%,2021
Kerbal Space Program,2021,February,3983.43,-346.45,6519,61.1049%,2021
Dota Underlords,2021,February,4170.2,-131.87,6114,68.2074%,2021
Total War: MEDIEVAL II - Definitive Edition,2021,February,3445.92,-151.98,6045,57.0045%,2021
MORDHAU,2021,February,3500.64,-411.32,5642,62.0461%,2021
Clicker Heroes,2021,February,3475.86,107.94,4808,72.2933%,2021
theHunter: Call of the Wild,2021,February,3741.87,-1653.19,7127,52.5027%,2021
Hell Let Loose,2021,February,3747.24,-42.33,6740,55.597%,2021
Leaf Blower Revolution - Idle Game,2021,February,3482.46,-572.98,4671,74.5549%,2021
AdVenture Capitalist,2021,February,2377.82,-232.96,4546,52.3058%,2021
Starbound,2021,February,3238.53,-69.97,6443,50.2643%,2021
Crossout,2021,February,3256.31,511.96,6366,51.1516%,2021
Warface,2021,February,3101.01,-295.94,5194,59.7037%,2021
For Honor,2021,February,3364.48,80.92,5230,64.3304%,2021
Crusader Kings II,2021,February,3347.82,-24.7,5272,63.5019%,2021
House Flipper,2021,February,2905.33,-66.43,5490,52.9204%,2021
XCOM 2,2021,February,7246.61,3334.25,13491,53.7144%,2021
Lords Mobile,2021,February,3736.38,-28.96,6216,60.1091%,2021
Blender,2021,February,3406.65,135.99,4705,72.4049%,2021
Ori and the Will of the Wisps,2021,February,4060.64,1607.29,16964,23.9368%,2021
STAR WARS Battlefront II,2021,February,2906.59,-2243.88,5364,54.187%,2021
Far Cry 5,2021,February,3396.95,-2102.46,6521,52.0925%,2021
The Isle,2021,February,3208.93,65.38,4844,66.2455%,2021
Assetto Corsa Competizione,2021,February,2114.53,68.33,6167,34.2878%,2021
Age of Empires III: Definitive Edition,2021,February,3017.18,-544.77,5466,55.199%,2021
Borderlands 2,2021,February,4365.29,795.11,7971,54.7646%,2021
Kenshi,2021,February,3988.5,436.0,5341,74.677%,2021
Heroes & Generals,2021,February,2637.36,-107.83,4558,57.8622%,2021
Eco,2021,February,2954.61,1133.33,5100,57.9335%,2021
People Playground,2021,February,3022.44,131.69,5174,58.4159%,2021
Shakes and Fidget,2021,February,2491.64,21.61,4017,62.0274%,2021
Subnautica,2021,February,3039.09,-1040.61,4937,61.5574%,2021
Insurgency: Sandstorm,2021,February,4377.81,1582.77,12611,34.7142%,2021
Total War: EMPIRE - Definitive Edition,2021,February,2646.28,-8.11,4713,56.1485%,2021
The Sims(TM) 3,2021,February,2802.92,-29.87,4345,64.5091%,2021
Transformice,2021,February,2156.97,-47.74,3779,57.0778%,2021
Total War: ATTILA,2021,February,2453.03,-238.06,4108,59.7135%,2021
Transport Fever 2,2021,February,2584.82,-270.99,5694,45.3955%,2021
eFootball PES 2020,2021,February,2307.41,-450.82,4328,53.3135%,2021
Darkest Dungeon®,2021,February,3389.51,-556.57,5821,58.229%,2021
Total War: SHOGUN 2,2021,February,2861.23,34.57,6146,46.5543%,2021
Horizon Zero Dawn,2021,February,2405.24,-1576.15,5032,47.7989%,2021
HITMAN 2,2021,February,2471.92,-656.86,4427,55.8374%,2021
Need for Speed Heat ,2021,February,2510.89,-900.28,4368,57.4837%,2021
Portal 2,2021,February,2385.76,-1000.48,4451,53.6005%,2021
YoloMouse,2021,February,2751.66,542.73,3669,74.9975%,2021
Kingdom Come: Deliverance,2021,February,2786.54,-350.93,5347,52.1141%,2021
They Are Billions,2021,February,2670.04,-357.51,4431,60.2582%,2021
Totally Accurate Battle Simulator,2021,February,2585.85,-584.85,3814,67.7989%,2021
ATLAS,2021,February,2188.33,-706.26,4202,52.0783%,2021
Assassin's Creed Origins,2021,February,2226.53,-169.85,4831,46.0884%,2021
STAR WARS Jedi: Fallen Order ,2021,February,3040.63,95.63,5543,54.8553%,2021
Battlefield V,2021,February,6668.92,3536.12,18721,35.6227%,2021
Fishing Planet,2021,February,1829.05,83.95,3144,58.1759%,2021
DiRT Rally 2.0,2021,February,1571.82,23.98,3243,48.4681%,2021
Mortal Kombat 11,2021,February,1992.87,-283.51,3528,56.4872%,2021
Middle-earth: Shadow of War,2021,February,2407.1,-482.79,4408,54.6075%,2021
Medieval Dynasty,2021,February,1805.9,-1034.05,4000,45.1475%,2021
Soundpad Demo,2021,February,1685.96,95.51,2899,58.1566%,2021
DOOM Eternal,2021,February,2269.47,-1122.23,4478,50.6804%,2021
Mr.Mine,2021,February,2088.95,100.2,2804,74.4989%,2021
Star Trek Online,2021,February,1849.9,451.3,3113,59.425%,2021
Catan Universe,2021,February,2094.07,-229.8,4510,46.4317%,2021
Men of War: Assault Squad 2,2021,February,1841.93,-6.23,3135,58.7537%,2021
Trove,2021,February,1845.99,58.66,2744,67.2737%,2021
Football Manager 2018,2021,February,1878.01,-119.14,3191,58.8533%,2021
DARK SOULS II: Scholar of the First Sin,2021,February,2265.93,-397.37,3564,63.5783%,2021
DRAGON BALL FighterZ,2021,February,2166.31,-935.67,3886,55.7465%,2021
Gems of War,2021,February,1745.35,10.63,2569,67.9389%,2021
Aseprite,2021,February,2045.94,86.13,2563,79.826%,2021
The Crew 2,2021,February,1984.61,-709.71,4162,47.684%,2021
CarX Drift Racing Online,2021,February,1913.18,61.44,4403,43.4517%,2021
Beat Saber,2021,February,1865.17,-260.79,3268,57.0737%,2021
Battlefield 1 ,2021,February,5267.95,2526.53,13941,37.7875%,2021
KovaaK 2.0,2021,February,1871.93,73.63,2656,70.4793%,2021
Neverwinter,2021,February,1778.75,30.76,3213,55.361%,2021
Will To Live Online,2021,February,1743.3,27.22,3094,56.3445%,2021
Street Fighter V,2021,February,3044.38,769.18,8140,37.4002%,2021
DARK SOULS: REMASTERED,2021,February,1898.17,-133.44,2933,64.7177%,2021
PlanetSide 2,2021,February,1979.26,85.97,3101,63.8265%,2021
Planet Coaster,2021,February,2060.37,-160.95,3662,56.2635%,2021
Pathfinder: Kingmaker,2021,February,2108.55,293.26,3786,55.6933%,2021
The Long Dark,2021,February,1872.53,-601.21,3084,60.7176%,2021
Disco Elysium,2021,February,1477.37,110.65,4296,34.3894%,2021
Stormworks: Build and Rescue,2021,February,1621.33,-12.66,2950,54.9603%,2021
Knight Online,2021,February,1905.4,120.45,3154,60.4122%,2021
Project Zomboid,2021,February,1792.99,-251.65,2881,62.235%,2021
Noita,2021,February,2370.32,-57.07,4344,54.5654%,2021
Northgard,2021,February,2349.38,223.6,6004,39.1302%,2021
Realm of the Mad God Exalt,2021,February,1904.6,-166.77,2709,70.3064%,2021
Persona 4 Golden,2021,February,2460.34,-541.16,3505,70.1951%,2021
X-Plane 11,2021,February,1626.15,-35.89,2656,61.2255%,2021
RISK: Global Domination,2021,February,1735.79,-119.77,3998,43.4165%,2021
METAL GEAR SOLID V: THE PHANTOM PAIN,2021,February,1977.99,-229.36,3040,65.0655%,2021
Jurassic World Evolution,2021,February,2006.15,-1429.33,3962,50.6348%,2021
BATTLETECH,2021,February,1927.71,-261.79,3141,61.3725%,2021
theHunter Classic,2021,February,1286.52,5.46,2382,54.0101%,2021
ASTRONEER,2021,February,1878.86,-571.53,4011,46.8427%,2021
Microsoft Flight Simulator X: Steam Edition,2021,February,1552.64,-69.29,2615,59.3744%,2021
EVGA Precision X1,2021,February,1990.02,166.19,2581,77.1027%,2021
Robocraft,2021,February,491.72,-0.6,804,61.1592%,2021
Don't Starve,2021,February,2704.15,58.14,4684,57.7316%,2021
Firestone Idle RPG,2021,February,1738.7,-106.43,2184,79.6108%,2021
Age of Mythology: Extended Edition,2021,February,1785.05,-202.28,3534,50.5108%,2021
BLEACH Brave Souls - 3D Action,2021,February,1229.25,-533.41,2073,59.2981%,2021
Train Simulator,2021,February,1348.19,-40.4,2964,45.4855%,2021
Call of Duty: Black Ops III,2021,February,2169.51,166.89,4882,44.439%,2021
Subnautica: Below Zero,2021,February,1652.81,-395.17,4886,33.8275%,2021
Heroes of Might & Magic III - HD Edition,2021,February,1417.65,-30.31,2732,51.8906%,2021
Total War: NAPOLEON - Definitive Edition,2021,February,1439.17,10.39,2571,55.9771%,2021
