number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore
1,Half-Life 2,"Nov 16, 2004",9.99,"10,000,000 .. 20,000,000",Valve,Valve,110.0,66.0,96.0
3,Counter-Strike: Source,"Nov 1, 2004",9.99,"10,000,000 .. 20,000,000",Valve,Valve,236.0,128.0,88.0
21,Counter-Strike: Condition Zero,"Mar 1, 2004",9.99,"10,000,000 .. 20,000,000",Valve,Valve,10.0,3.0,65.0
47,Half-Life 2: Deathmatch,"Nov 1, 2004",4.99,"5,000,000 .. 10,000,000",Valve,Valve,0.0,0.0,
36,Half-Life: Source,"Jun 1, 2004",9.99,"2,000,000 .. 5,000,000",Valve,Valve,0.0,0.0,
52,CS2D,"Dec 24, 2004",,"1,000,000 .. 2,000,000",Unreal Software,Unreal Software,16.0,10.0,
2,Unreal Tournament 2004: Editor's Choice Edition,"Mar 16, 2004",14.99,"500,000 .. 1,000,000","Epic Games, Inc.","Epic Games, Inc.",0.0,0.0,93.0
4,DOOM 3,"Aug 3, 2004",4.99,"500,000 .. 1,000,000",id Software,id Software,0.0,0.0,87.0
14,Beyond Divinity,"Apr 27, 2004",5.99,"500,000 .. 1,000,000",Larian Studios,Larian Studios,0.0,0.0,73.0
40,Hitman: Contracts,"Apr 20, 2004",8.99,"500,000 .. 1,000,000",Io-Interactive A/S,Io-Interactive A/S,0.0,0.0,
9,Gish,"May 4, 2004",9.99,"200,000 .. 500,000",Cryptic Sea,Chronic Logic,0.0,0.0,80.0
17,Neighbours from Hell Compilation,"Feb 20, 2004",9.99,"200,000 .. 500,000",JoWooD Vienna,THQ Nordic,0.0,0.0,69.0
43,"STAR WARS Battlefront (Classic, 2004)","Sep 21, 2004",9.99,"200,000 .. 500,000",Pandemic Studios,"Lucasfilm, LucasArts, Disney",0.0,0.0,
49,Jagged Alliance 2 - Wildfire,"Mar 8, 2004",6.99,"200,000 .. 500,000",I-deal Games,Topware Interactive,371.0,270.0,
53,Painkiller: Black Edition,"Apr 12, 2004",9.99,"200,000 .. 500,000",People Can Fly,THQ Nordic,0.0,0.0,
5,Silent Storm Gold Edition,"Sep 9, 2004",9.99,"100,000 .. 200,000",Nival,THQ Nordic,0.0,0.0,83.0
12,Soldiers: Heroes of World War II,"Jun 29, 2004",4.99,"100,000 .. 200,000",Best Way,1C Entertainment,0.0,0.0,77.0
18,Sherlock Holmes: The Silver Earring,"Sep 30, 2004",9.99,"100,000 .. 200,000",Frogwares,Frogwares,0.0,0.0,68.0
26,World War II: Panzer Claws,"Jan 14, 2004",4.99,"100,000 .. 200,000",,Topware Interactive,250.0,181.0,61.0
31,Marine Sharpshooter II: Jungle Warfare,"Jun 22, 2004",2.99,"100,000 .. 200,000",Jarhead Games,Funbox Media Ltd,0.0,0.0,52.0
34,SuperPower 2 Steam Edition,"Oct 11, 2004",9.99,"100,000 .. 200,000",GolemLabs,THQ Nordic,0.0,0.0,
20,Dark Fall 2: Lights Out,"Aug 24, 2004",4.99,"50,000 .. 100,000",Darkling Room,THQ Nordic,0.0,0.0,66.0
24,Aura: Fate of the Ages,"Jun 24, 2004",4.99,"50,000 .. 100,000",Streko Graphics,THQ Nordic,0.0,0.0,63.0
39,Guilty Gear X2 #Reload,"Jul 23, 2004",9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0.0,0.0,
42,Platypus,"Jun 2, 2004",6.99,"50,000 .. 100,000",Idigicon,KISS ltd,0.0,0.0,
