year,race,number,income_median,income_med_moe,income_mean,income_mean_moe,income_bracket,income_distribution,_art_year
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"Under $15,000",9.1,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$15,000 to $24,999",8.0,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$25,000 to $34,999",8.3,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$35,000 to $49,999",11.7,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$50,000 to $74,999",16.5,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$75,000 to $99,999",12.3,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$100,000 to $149,999",15.5,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$150,000 to $199,999",8.3,2019
2019,All Races,128451000.0,68703,904,98088.0,1042.0,"$200,000 and over",10.3,2019
2018,All Races,128579000.0,64324,704,91652.0,914.0,"Under $15,000",10.1,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$15,000 to $24,999",8.8,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$25,000 to $34,999",8.7,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$35,000 to $49,999",12.0,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$50,000 to $74,999",17.0,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$75,000 to $99,999",12.5,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$100,000 to $149,999",15.0,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$150,000 to $199,999",7.2,2018
2018,All Races,128579000.0,64324,704,91652.0,914.0,"$200,000 and over",8.8,2018
2017,All Races,127586000.0,64007,575,89922.0,892.0,"Under $15,000",10.1,2017
2017,All Races,127586000.0,64007,575,89922.0,892.0,"$15,000 to $24,999",9.1,2017
2017,All Races,127586000.0,64007,575,89922.0,892.0,"$25,000 to $34,999",9.2,2017
